Run,Equation_Index,Hybrid_MSE_Train,Hybrid_AIC_Train,Hybrid_BIC_Train,Hybrid_MDL_Train,Hybrid_PSM_Train,Extrapolation_Divergence,Sensitivity_Interpolation,Sensitivity_Extrapolation,Lambda1,Lambda2,Lambda3,Complexity,MSE_Test_Interpolation,MSE_Test_Extrapolation
1,0,1.0054575696641794,1.026715183076015,1.0249018831105463,1.0255742862026496,0.05128907413468835,0.10198099036541253,0.0004976315866368013,0.0010292899627614073,0.5,0.6,0.0,1,7.917262343281448,17.79251979610061
1,1,0.9062790812006416,0.963783419681246,0.961268158253389,0.9615849576672346,0.1777248054822475,0.06666665360954584,0.000109459951608498,0.0002847647989685643,0.5,0.6,0.0,2,7.76597773363217,18.455427322030108
1,2,0.5820858546023859,0.7489769930010338,0.742813514028212,0.7397798233197043,0.8026391750396452,0.10409785937541952,0.0010035846106002096,0.0020929709254190534,0.5,0.6,0.0,3,5.253378772853985,10.315387781718252
1,3,0.4877120768197537,0.6676724908283578,0.6615864709297643,0.6566551148154547,0.19792214191928073,0.11131596889154735,0.004114934517808819,0.009373134710271699,0.5,0.6,0.0,5,4.418695573020231,9.407715002647778
1,4,0.31378372133813615,0.4803213878874803,0.4712711317410413,0.4648668657688235,0.36564895337211495,0.1159683581093554,0.004951617452791034,0.011081122211312584,0.5,0.6,0.0,7,3.409566919806656,5.613820580956887
1,5,0.2804536231913722,0.4340573271884563,0.42413599778005934,0.4183630517412961,0.16008225336379334,0.1333963201356954,0.006444512212701505,0.01416899209959693,0.5,0.6,0.0,9,3.271100255212832,5.666799978125341
1,6,0.25490048923628805,0.393301908348653,0.3853981921829259,0.3772413737210888,0.26017231663085577,0.14063468485179093,0.022600701541765408,0.05026548470067618,0.5,0.6,0.0,10,2.9539111787190686,4.892107750971742
1,7,0.113951837037299,0.1499079688531622,0.13830310306740665,0.12536210181341906,0.8388337146573263,0.1351796005515097,0.017257320023414676,0.038315791371361076,0.5,0.6,0.0,11,2.176408715995044,2.3412220029753352
1,8,0.1070808874508942,0.12815606737958768,0.11611981783331629,0.10543691687179346,0.17256249515156644,0.14000108952387472,0.023117880860273013,0.05123648980824393,0.5,0.6,0.0,12,2.163591873750396,2.071716515494234
1,9,0.10568006338913609,0.12576479885430525,0.11512401893412001,0.10312566475388317,0.09224467224438664,0.14016028445854484,0.022663602381806622,0.05017938423045716,0.5,0.6,0.0,13,2.1676502544379246,2.064250947549193
1,10,0.10374541370325235,0.11951199701787954,0.11017351706363288,0.10481239118726852,0.09258819938968726,0.14250383215850135,0.023968155287087966,0.053064055950127594,0.5,0.6,0.0,17,2.1696129527289134,1.9376594344377975
1,11,0.10158203420239398,0.11643794356186368,0.10849827692551581,0.10450347153298442,0.08857126374564275,0.1421696322276504,0.022486579080559142,0.04977519312998358,0.5,0.6,0.0,19,2.1473830090608184,1.930518490591276
1,12,0.10012074479866204,0.11592638001616054,0.11228598927781014,0.12808849182693907,0.08365496273761153,0.1414542523159385,0.021278006443931533,0.04572564629446763,0.5,0.6,0.0,36,2.1499827301270726,1.9456645565808304
1,13,0.09802184978889242,0.11275858805101659,0.11051261238274,0.13962250758462696,0.08409469210386364,0.1394963535083224,0.02144845696943686,0.046478664385240016,0.5,0.6,0.0,42,2.134218087040113,1.9747284596276955
1,14,0.0973398752891664,0.11201105239309034,0.11118749941270652,0.1424997071408989,0.08390880772762854,0.13899709508061026,0.0214373094660772,0.0464580198839974,0.5,0.6,0.0,44,2.126754220370536,1.97360437618363
1,15,0.0962842772955028,0.10965208305829688,0.10879232844010743,0.1415535541342377,0.08605170585052332,0.13865654193060095,0.021664471493247715,0.04770079091119236,0.5,0.6,0.0,46,2.119852452081328,1.993429849657688
1,16,0.09677215862973253,0.1100044862499965,0.10914087977274455,0.15067315574463172,0.0833074778549166,0.13979566756950362,0.021704732655101082,0.04854443287461152,0.5,0.6,0.0,48,2.1238304624103077,1.98382027806046
1,17,0.09650075181505692,0.10949582891499743,0.11005007160907762,0.14811456193557201,0.08523682926168585,0.14034969930919566,0.021716716227249414,0.04721192658523617,0.5,0.6,0.0,50,2.116893455098531,1.983766202288057
1,18,0.09598995350380302,0.11003379959379361,0.1148903554376065,0.1609322366402905,0.08329326433398432,0.14024460839476208,0.021440960129568965,0.04787668624887145,0.5,0.6,0.0,57,2.1225366567663086,1.9903661850445529
1,19,0.09503135915355027,0.10744485047208138,0.10798289012012452,0.16732768206379786,0.08277051772167704,0.1379924510581349,0.021985264978630868,0.04826470386318344,0.5,0.6,0.0,59,2.1279408346067665,1.947526067208192
1,20,0.0950143305021636,0.10788107613625814,0.10985615843884527,0.17183190087917136,0.08224982574644188,0.1379924510581349,0.021985264978630868,0.04826470386318344,0.5,0.6,0.0,61,2.1283267661877794,1.947665351640203
1,21,0.09504066311691767,0.10739605831960894,0.10793262615634511,0.17966281589284977,0.08227622401953462,0.1383120030120521,0.021809744000996403,0.048804696865584286,0.5,0.6,0.0,67,2.1250374027346077,1.969596089999552
1,22,0.09486137103941161,0.10725935708101711,0.1092214585832392,0.185278663059744,0.08362762830192098,0.13881473947510073,0.02165062162396499,0.04757408624492939,0.5,0.6,0.0,69,2.1179657832464738,1.9751930072479744
1,23,0.09570708432094319,0.10807734169668061,0.11003868399918407,0.18297458390504143,0.08342268073416438,0.14027742464771709,0.0218770106806968,0.04843746095253609,0.5,0.6,0.0,70,2.114328835530248,1.9468128610716455
1,24,0.09605394984957463,0.10787794338494658,0.10839974335045409,0.1863827744192467,0.084072019410575,0.1408686968448093,0.02205434421812549,0.04888093056282576,0.5,0.6,0.0,71,2.127678920969656,1.966352906588108
1,25,0.09570300304772641,0.10825792044031014,0.11164885203240922,0.19834638212439648,0.08363546355143626,0.14016452524533618,0.02233896149289906,0.04906868179085193,0.5,0.6,0.0,75,2.136107069653055,1.9807989825853127
1,26,0.09587071059311356,0.1089995848892949,0.11383080874576862,0.2052335432999985,0.08360534702566748,0.14104232890235952,0.02175957602286527,0.047885685108450676,0.5,0.6,0.0,78,2.110459342642174,1.989793748909828
1,27,0.09488325688840675,0.10701211684513606,0.11039120632323275,0.1999077824372981,0.0859777742532392,0.13943241477188958,0.02213150371187775,0.05033011344478796,0.5,0.6,0.0,79,2.124684140573159,1.9947618139783356
1,28,0.09450508197702633,0.10708158623777375,0.11189757023940643,0.2063406035136478,0.08268994579423272,0.13834598788914537,0.022441841439875525,0.05046084188555378,0.5,0.6,0.0,82,2.1221497172675057,2.0147051292904203
1,29,0.09487657843586453,0.10781282642647427,0.11406285224098371,0.21294380598843304,0.08375522991085002,0.1391214561135311,0.022563430357787094,0.05166571522799313,0.5,0.6,0.0,83,2.1335626899648585,2.003694729648822
1,30,0.09484495679705564,0.10821517499119902,0.11590161362043137,0.22113975338590305,0.08321514526033354,0.1391214561135311,0.022563430357787094,0.05166571522799313,0.5,0.6,0.0,85,2.1295654851808816,2.0044163499172685
1,31,0.09316964313656192,0.10604952292486354,0.11229797470589653,0.2210564199583302,0.08145694451557345,0.13585784777920204,0.022510556498600186,0.05005451158411703,0.5,0.6,0.0,89,2.0988660311563856,2.0213332363009298
1,32,0.09442252127984271,0.10844976864148775,0.11900327410911238,0.2547835105889929,0.08298523024143559,0.13947545904767866,0.02194088250353502,0.04862106967673866,0.5,0.6,0.0,108,2.117430077032559,1.9834175061550527
1,33,0.09418394398888337,0.10897736988956898,0.12240107194428948,0.25977363823768373,0.08332918556190895,0.139262243775585,0.021957607384319795,0.04824696323811014,0.5,0.6,0.0,110,2.12221044694743,1.973272247284746
1,34,0.09418856606735483,0.10898000541649148,0.12240357765845371,0.2614208724434561,0.08282057378895354,0.13927275381762566,0.021958655709137687,0.04826030481003018,0.5,0.6,0.0,111,2.122214907221064,1.973485162865657
1,35,0.09439326038941047,0.10813262648405968,0.11867831787120235,0.2609537594391571,0.08367266186812601,0.13984915661569433,0.021950145436720025,0.04854040907960521,0.5,0.6,0.0,112,2.121822529844801,1.964103076732534
1,36,0.09455684173644592,0.10868708310567518,0.1206680764381975,0.2665246205032034,0.08379961416458458,0.14034513976041713,0.02191718533810759,0.048502096800240556,0.5,0.6,0.0,113,2.120349076624534,1.96905174081678
1,37,0.09452885265673502,0.10865273549778097,0.12063351579291659,0.2714240068401372,0.08331818424134915,0.14029870077804332,0.02191758799602863,0.04849796648786693,0.5,0.6,0.0,115,2.12078453783137,1.9688401429084603
1,38,0.0943029589208832,0.10889459168160834,0.12231271993921244,0.2805853446315912,0.0830940496845661,0.13985829291918903,0.02191771894952377,0.04854719437142963,0.5,0.6,0.0,118,2.123428183336372,1.9700931814067697
1,39,0.09362705311044589,0.10772349990813168,0.1197035488205685,0.29764060121137864,0.08243042889295488,0.1382244077360189,0.022178265048134343,0.04920477762361195,0.5,0.6,0.0,128,2.114138617385698,1.9751208737790804
1,40,0.09428431895023316,0.10875078513374738,0.12216538561132397,0.29570863233306866,0.08345475087004306,0.1397982586755921,0.022096618716334906,0.0485164871597339,0.5,0.6,0.0,130,2.119625793522814,1.983930937305001
1,41,0.09405008079475993,0.11031708556862531,0.12947900360910738,0.3407155517280178,0.08304040205481687,0.1397378101561927,0.02188490080170803,0.04890801813926314,0.5,0.6,0.0,144,2.111386026861797,1.9605019538276427
1,42,0.09456959313000392,0.1145696460767292,0.14523020918472354,0.4053454793216588,0.08358706186554013,0.1409282680997505,0.021846610047083118,0.04961036338120462,0.5,0.6,0.0,170,2.1008399950645726,1.9653949057968965
1,43,0.09412982222817282,0.11393605338418424,0.1445911349656,0.4075182147130115,0.08355539658976989,0.14023178044464812,0.0219418345277007,0.0498452159309147,0.5,0.6,0.0,174,2.099778474546821,1.966671316081
1,44,0.09410317777015934,0.11434611488994068,0.14643780400521722,0.4127973239750073,0.08339271497251385,0.14024773726656914,0.021933270855347953,0.049839131186348015,0.5,0.6,0.0,176,2.0992280067158378,1.9679151683943108
2,0,0.8853182349323906,0.9565534820776543,0.9537404221204133,0.9529318288334155,0.04527574926308922,0.08995526872893689,0.0004968581643679568,0.0009266597088903104,0.5,0.6,0.0,1,8.1935586729721,17.654137207166674
2,1,0.5640932925885316,0.7335583387292314,0.7272042216932941,0.7238884984639511,0.41341856084337714,0.09772787391418052,0.0009844950161177555,0.002071465408590304,0.5,0.6,0.0,3,5.664910420160152,10.315387781718252
2,2,0.4432854519867813,0.6243308112708136,0.6171619986294853,0.6111670210055443,0.31576688806898656,0.1455758049433202,0.01911050024567728,0.04353624341435277,0.5,0.6,0.0,5,4.812525116720372,9.180442140757892
2,3,0.24745956891679394,0.38282454707401037,0.37194593667444215,0.363109930543956,0.4620644750099542,0.13283418332136035,0.023889521428351136,0.05475576193367705,0.5,0.6,0.0,7,3.4172595639419154,4.907535534809922
2,4,0.12865701271264215,0.17715534740571995,0.16308093918338634,0.15115706324502048,0.4086027875719472,0.1336126661830723,0.022178557990238993,0.05063683718957567,0.5,0.6,0.0,9,2.407633484405741,2.7106659880783885
2,5,0.09926516027369334,0.11855029316609447,0.10503894735023071,0.09364528240406197,0.16702903472931596,0.1272203634419004,0.022548836598023175,0.05163206766664065,0.5,0.6,0.0,11,2.183440433959768,2.0796821379392023
2,6,0.09497184001595373,0.10933734781012885,0.09711144193661791,0.08842073744496885,0.08504545001506407,0.12751694510900946,0.022435881159468596,0.05136088681890166,0.5,0.6,0.0,15,2.1812963253661355,1.9573780557775624
2,7,0.09328271110754481,0.10840177741792838,0.10046942506143022,0.12123493694496815,0.07626143002487072,0.1264765374818676,0.02138240249088288,0.04897998211535915,0.5,0.6,0.0,35,2.1763247008389084,1.956616408606961
2,8,0.09311735646673557,0.10815407711312144,0.10021943788512791,0.12505230137408468,0.07644028683335335,0.1259206781510975,0.021679128506811484,0.05109528400265459,0.5,0.6,0.0,36,2.1816113149129674,2.001820924667299
2,9,0.09307947301969045,0.1082714166907075,0.10176543160456357,0.12872587891644505,0.07710670781321645,0.12582419208911633,0.02212139121932933,0.052149201077841545,0.5,0.6,0.0,38,2.176240147123158,1.9820458437782356
2,10,0.09307488284644025,0.10873618265099798,0.10366765679540138,0.1328096640707902,0.07620145407750914,0.12582419208911633,0.02212139121932933,0.052149201077841545,0.5,0.6,0.0,40,2.176059939367639,1.9819660208755416
2,11,0.09034521255674302,0.10568977480335164,0.10203659798377404,0.15205971754941586,0.07440993041474507,0.12234245455156519,0.021522170088630454,0.048011774883006245,0.5,0.6,0.0,54,2.153150919420838,1.9202820029876175
2,12,0.09016656093843804,0.10623575298835587,0.10545109582093691,0.16965015357704344,0.07440820928102837,0.12234245455156519,0.021522170088630454,0.048011774883006245,0.5,0.6,0.0,58,2.154551539427346,1.919949192642357
2,13,0.09122307181429655,0.10467568825200117,0.09954533205638302,0.1835969002279486,0.0765078210057413,0.12619334285923264,0.02164070755932851,0.05278602969343314,0.5,0.6,0.0,74,2.1561199978017083,1.9599131158226784
2,14,0.08834669010046893,0.10409891860572204,0.10615417258199443,0.20037600491945418,0.07333800871346144,0.12262114374626529,0.019923975596752682,0.04548787703990719,0.5,0.6,0.0,80,2.169302640646709,1.988488388273548
2,15,0.087052603799285,0.10143691397288897,0.10345399379369419,0.1925017104395843,0.07695433278397741,0.12194439300431455,0.020119219168723463,0.04496394488892397,0.5,0.6,0.0,82,2.179583262537417,1.9660144137548408
