Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,1,1,1,2381.889959777884,6328.096169968375,6994.644494371916,48.804264061585634,-212.27052307128903,426.5410461425781,428.22992,213.91224081967607,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,3,3,2335.7895603961438,5988.334115031348,7123.986898293119,48.2898607572518,-211.87966918945312,425.7593383789063,427.4482,216.81845925489105,0.0097720649177761,0.0007806692045648,0.0013697358343827,0.0007806692045648,0.0013697358343827,0.7039654402387598
1,2,4,1,4,4,2262.7699553277826,5541.561691482352,7255.523004847028,47.41753637180936,-211.24485778808597,424.4897155761719,426.1786,218.4365053385364,0.0317602659279963,0.091878115898059,0.310215930538905,0.091878115898059,0.310215930538905,0.9060127439829212
1,3,5,2,5,5,1686.040738690967,3183.3390862262377,5428.108192069795,41.03154295632421,-205.3603363037109,414.7206726074219,418.09842,215.05032460487,0.2942067865343999,0.3775494059217103,0.6624354432282525,0.3775494059217103,0.6624354432282525,0.8608014532280392
1,4,7,2,7,6,1269.3160552068189,2916.637912065059,4295.217858363379,35.6274619386267,-199.6822204589844,403.3644409179688,406.7422,213.86624401856045,0.1419523048416356,0.3578175785990424,0.9064373180715052,0.7156351571980772,1.8128746361430144,0.8715372352446393
1,5,9,2,9,7,1142.618521092037,3479.8286901760102,5252.9572115475,33.60465578862112,-197.5804901123047,399.1609802246094,402.53873,216.7441747004619,0.0525777109387782,0.3237754745738189,0.758421823322363,0.9713264237214612,2.275265469967075,0.8522860632137343
1,6,11,2,11,8,1103.6648155556086,1969.510719611833,14168.621696157705,33.22082868030448,-196.88536071777344,397.7707214355469,401.14847,221.40095276539407,0.017343314914775,0.2421155478876639,0.5824379253646075,0.968575963716137,2.3299842961378703,0.8686426714277858
1,7,13,4,19,13,1054.96802069952,6025.922933094537,2837.234247564664,32.47672262421234,-195.98284912109372,399.9656982421875,406.72122,246.3587579177765,0.022563253688321,0.7961248014655367,1.203867853968057,2.3883351986287438,3.6115469805302176,0.6961382854085115
1,8,15,4,21,14,816.4282026763025,6104.772428213506,2931.9946852391963,28.436183317568965,-190.8572540283203,389.7145080566406,396.47003,247.9263585340832,0.1281635472813398,0.6816162640984875,1.1905124568726648,2.7264209499051155,4.761986173444971,0.8778278626872222
1,9,17,4,23,15,718.9257137889948,4136.610689480518,2444.241596441336,26.812728578132667,-188.3126983642578,384.6253967285156,391.38092,252.2395638267278,0.0635905269833149,0.5267517347891999,0.9066753724761332,2.6337116270245664,4.533308964731929,0.9448723930713148
1,10,19,4,25,16,714.6112383343119,4022.337182298674,2484.484196781635,26.731951956655276,-188.19232177734372,384.3846435546875,391.14017,259.14876141712654,0.0030097712482033,0.439067459915396,0.7557799468644245,2.6343557522825507,4.534608954469112,0.9429890356130172
1,11,20,4,28,16,713.2608712846817,4098.875606357978,2602.981852046018,26.696699765173765,-188.15447998046875,384.3089599609375,391.06448,267.4292469529731,0.0018909983153596,0.440045811128477,0.7561678649543189,2.6402235638299856,4.536934911056043,0.9464086037260196
1,12,21,5,27,17,650.1704571856114,8243.15895072625,2891.007060490753,25.10519657563988,-186.3119964599609,382.6239929199219,391.0684,264.4735997883939,0.0926124936720648,0.4789383163483514,0.7340421343075874,2.8739288189218373,4.404299922096942,0.6694121964413096
1,13,23,5,29,17,597.7285687542038,5804.317986028517,2561.1076596304165,24.33295128490702,-184.6211853027344,379.2423706054688,387.68677,268.43316799639774,0.0420485311892755,0.5053354115424685,0.7868710660136451,3.032352200695383,4.72133081066127,0.6452042684996505
1,14,25,6,31,18,546.9562631131333,8550.443150440198,2987.713378159697,23.18423303072157,-182.84796142578125,377.6959228515625,387.8292,274.1042048101616,0.0443846792492134,0.5307042461009097,0.8065266642590945,3.1844474219427474,4.839171403924746,0.6725936895691631
1,15,26,6,32,19,546.071056017531,8506.460303215252,2599.891414294479,22.424705078274133,-182.8823699951172,377.7647399902344,387.898,278.8067340247332,0.0016178014160202,0.4498105583043374,0.6429631857883497,2.6990157682873117,3.857679303426527,0.6003270433207156
1,16,28,7,34,20,498.1459586705248,7899.006476560658,3458.1028734563743,22.31908243223421,-180.97540283203125,375.9508056640625,387.77295,284.4720144571539,0.0459284699876637,0.5030256332181244,0.7676158457758693,3.0183062177700206,4.605595263351671,0.6737390496356062
1,17,29,6,35,20,480.0652019749341,7307.2914297927155,3450.47873264765,21.864019457195894,-180.2361602783203,372.4723205566406,382.6056,286.7316716618307,0.036970776876916,0.455651295012439,0.7089253276310303,2.734049812220929,4.253277853086582,0.6046706269023414
1,18,30,7,36,22,470.93621690231913,7444.055630945647,2903.1022254951195,21.691218631810056,-179.8520050048828,373.7040100097656,385.52615,292.7719205984005,0.0191995119879918,0.4327296166906976,0.6632718810440482,3.0292491595919198,4.64279616863368,0.6317868308554266
1,19,32,7,38,23,446.1789939729081,7690.131884198636,2902.542296279419,21.11717906472104,-178.77194213867188,371.54388427734375,383.36603,299.5628392255681,0.0270013237396956,0.3804820873790406,0.5831673333570808,3.0439906100111385,4.665226277653679,0.5995754460174164
