Run,Metric,Clamp_Method,Constant_Value,Threshold_Value,Upper_Clamp,Original_Min,Original_Max,Clamped_Min,Clamped_Max,N_Clamped_Upper,N_Total,N_Valid
1,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,11.44895575073717,0.0,10.0,1,77,77
1,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,79.46762947004666,0.0,10.0,16,77,77
1,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,4328.710335718365,0.0,10.0,49,77,77
1,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,88570.72234491525,0.0,10.0,7,77,77
1,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1290202.863819663,0.0,10.0,52,77,77
2,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,4.554094155098887,0.0,4.554094155098887,0,96,96
2,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,318.4523322052375,0.0,10.0,55,96,96
2,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,19160.508662564906,0.0,10.0,72,96,96
2,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,289.4789446207068,0.0,10.0,13,96,96
2,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,92440.65807194922,0.0,10.0,74,96,96
3,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,3.4212583163169525,0.0,3.4212583163169525,0,96,96
3,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,21.31200404584583,0.0,10.0,49,96,96
3,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,305.3668480080279,0.0,10.0,68,96,96
3,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,23.6080300328368,0.0,10.0,11,96,96
3,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,236.84517830419023,0.0,10.0,72,96,96
4,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,915.8496520492412,0.0,10.0,61,81,81
4,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,631.1229813860971,0.0,10.0,34,81,81
4,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,350.436566556083,0.0,10.0,52,81,81
4,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,4509825419.146074,0.0,10.0,62,81,81
4,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,104658458631.09653,0.0,10.0,65,81,81
5,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.5137610934869572,0.0,1.5137610934869572,0,91,91
5,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,272.5181893377354,0.0,10.0,37,91,91
5,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,689.9067075341089,0.0,10.0,50,91,91
5,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,103.74462031914202,0.0,10.0,19,91,91
5,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,214.1739697423096,0.0,10.0,65,91,91
6,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.6329336718545548,0.0,1.6329336718545548,0,110,110
6,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,507.744202973548,0.0,10.0,27,110,110
6,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,3882.171435221701,0.0,10.0,96,110,110
6,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,300.6935735892459,0.0,10.0,6,110,110
6,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1743.2694662766917,0.0,10.0,83,110,110
7,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,23.13796287306495,0.0,10.0,13,102,102
7,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,148.19496629470595,0.0,10.0,75,102,102
7,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,6814285.54254849,0.0,10.0,75,102,102
7,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,668980.8143623646,0.0,10.0,17,102,102
7,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,817023.2206311172,0.0,10.0,75,102,102
8,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,24.64952813924664,0.0,10.0,14,83,83
8,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,179.1848686887405,0.0,10.0,46,83,83
8,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1179.488290329718,0.0,10.0,46,83,83
8,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,3964.604239366317,0.0,10.0,60,83,83
8,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,13345.950421639534,0.0,10.0,69,83,83
9,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,2082.075884892794,0.0,10.0,2,84,84
9,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1813.5077107603072,0.0,10.0,61,84,84
9,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,12017.84595842467,0.0,10.0,76,84,84
9,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,371312288.45694727,0.0,10.0,77,84,84
9,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,2166522231.673434,0.0,10.0,78,84,84
10,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,17.175153539913563,0.0,10.0,2,87,87
10,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,836.5789784542533,0.0,10.0,72,87,87
10,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,241.31515662143525,0.0,10.0,72,87,87
10,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,3221.846456435814,0.0,10.0,74,87,87
10,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,6437.180181393832,0.0,10.0,76,87,87
11,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,3.2299920610285024,0.0,3.2299920610285024,0,101,101
11,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,785.1597941961269,0.0,10.0,65,101,101
11,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,5738.9720747025785,0.0,10.0,87,101,101
11,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,4340.019055482855,0.0,10.0,9,101,101
11,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1491.066463233145,0.0,10.0,89,101,101
12,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.4457579301114931,0.0,1.4457579301114931,0,90,90
12,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,4996.622801830344,0.0,10.0,52,90,90
12,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,8319.794468679083,0.0,10.0,61,90,90
12,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,918.0754332661376,0.0,10.0,29,90,90
12,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,11858.019144116644,0.0,10.0,29,90,90
13,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.0110516135319647,0.0,1.0110516135319647,0,106,106
13,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,420.4358176325527,0.0,10.0,69,106,106
13,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,25920.914187704584,0.0,10.0,91,106,106
13,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,183.41377156161096,0.0,10.0,21,106,106
13,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,14426.454047895788,0.0,10.0,97,106,106
14,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,7.944896492522172,0.0,7.944896492522172,0,83,83
14,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,162.7840757606013,0.0,10.0,32,83,83
14,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,895.8519126886855,0.0,10.0,62,83,83
14,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,77.22230625951457,0.0,10.0,38,83,83
14,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,575.254647990467,0.0,10.0,72,83,83
15,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.1608012971452597,0.0,1.1608012971452597,0,96,96
15,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,75,96,96
15,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,143608906808.1203,0.0,10.0,75,96,96
15,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,31.65229028270942,0.0,10.0,65,96,96
15,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,15344.311362925942,0.0,10.0,65,96,96
16,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,4.231248885804693,0.0,4.231248885804693,0,91,91
16,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1352.2436188422157,0.0,10.0,58,91,91
16,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,2442.1984424698976,0.0,10.0,70,91,91
16,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,20.92138033107453,0.0,10.0,50,91,91
16,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,6085.507049009192,0.0,10.0,69,91,91
17,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,2.268002138206311,0.0,2.268002138206311,0,104,104
17,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,231.549667960437,0.0,10.0,48,104,104
17,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,350.5402751241293,0.0,10.0,93,104,104
17,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,104.82059990271328,0.0,10.0,86,104,104
17,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,646.186992205642,0.0,10.0,93,104,104
18,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.5870700060220673,0.0,1.5870700060220673,0,95,95
