Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,466.25477704745765,616.7528070126804,12.674592905088488,3696.473710764282,0.1231283709101823,0.16742302912844526,0.0,1.0,1.0
AIC_Train,356.78432890801037,36.64202409400279,265.6183624267578,444.1204833984375,0.5107276372123137,0.20527500678726518,0.0,1.0,1.0
BIC_Train,378.34798631463946,29.502075696363235,300.87085,453.27307,0.5083727541149956,0.19358035398935292,0.0,1.0,1.0
MDL_Train,527.5567618204991,227.61312303084102,210.308424345022,1180.9885976737112,0.32683096471163975,0.23448827871934594,0.0,1.0,1.0
PSM_Train,0.033702755205061816,0.05301937905575113,0.0,0.6389414850371214,0.0527477961508537,0.08298002289313045,0.0,1.0,1.0
Extrapolation_Divergence,1.6672638047295396,2.458233109916321,0.0,10.0,0.16672638047295396,0.24582331099163165,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,6.027073305906305,4.26609379513327,0.0,10.0,0.6027073305906304,0.4266093795133308,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,8.242090011846388,3.185724011390088,0.0,10.0,0.8242090011846388,0.31857240113899665,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,5.0376330128338305,4.165817350794907,0.0,10.0,0.5037633012833831,0.4165817350794885,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,8.131220131967797,3.177418537854733,0.0,10.0,0.8131220131967797,0.31774185378546477,0.0,1.0,1.0
