Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
542_pollution,1,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Interpolation,0.6021609968978389
542_pollution,1,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Interpolation,0.672906041327094
542_pollution,1,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Interpolation,0.6322098953677899
542_pollution,1,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Interpolation,0.04137967295862032
542_pollution,1,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Interpolation,0.4173721015826279
542_pollution,1,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Extrapolation,0.39534150060465845
542_pollution,1,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Extrapolation,0.3881644671118355
542_pollution,1,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Extrapolation,0.38201272411798726
542_pollution,1,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Extrapolation,0.19580419580419578
542_pollution,1,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Extrapolation,0.32259845417740146
542_pollution,2,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Interpolation,0.11956049918610959
542_pollution,2,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Interpolation,0.14171188279978295
542_pollution,2,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Interpolation,0.44054530656538254
542_pollution,2,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Interpolation,0.5195469343461747
542_pollution,2,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Interpolation,0.3811855670103093
542_pollution,2,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Extrapolation,0.1440586001085187
542_pollution,2,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Extrapolation,0.11913998914812805
542_pollution,2,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Extrapolation,0.32725176342919154
542_pollution,2,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Extrapolation,0.8793000542593598
542_pollution,2,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Extrapolation,0.5715409658166034
542_pollution,3,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Interpolation,-0.1269262072707542
542_pollution,3,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Interpolation,-0.18642159522517635
542_pollution,3,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Interpolation,-0.030860010851871948
542_pollution,3,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Interpolation,0.7031877373846988
542_pollution,3,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Interpolation,0.2049104720564297
542_pollution,3,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Extrapolation,0.3193705914270212
542_pollution,3,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Extrapolation,0.31219479110146503
542_pollution,3,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Extrapolation,0.40884427563754744
542_pollution,3,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Extrapolation,0.4823792729245795
542_pollution,3,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Extrapolation,0.39188822571893656
542_pollution,4,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Interpolation,0.19710930442637759
542_pollution,4,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Interpolation,-0.2578590785907859
542_pollution,4,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Interpolation,-0.20137759710930445
542_pollution,4,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Interpolation,0.5476964769647698
542_pollution,4,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Interpolation,0.406616982836495
542_pollution,4,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Extrapolation,0.4513775971093044
542_pollution,4,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Extrapolation,0.4622854561878951
542_pollution,4,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Extrapolation,0.53823396567299
542_pollution,4,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Extrapolation,0.5039747064137308
542_pollution,4,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Extrapolation,0.4807813911472448
542_pollution,5,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Interpolation,0.38415352763178856
542_pollution,5,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Interpolation,0.41108456760630674
542_pollution,5,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Interpolation,0.4406115623506929
542_pollution,5,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Interpolation,0.4433349259436216
542_pollution,5,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Interpolation,0.3522057652492435
542_pollution,5,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Extrapolation,0.5020066889632108
542_pollution,5,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Extrapolation,0.5165949992036948
542_pollution,5,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Extrapolation,0.5672400063704413
542_pollution,5,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Extrapolation,0.7565217391304349
542_pollution,5,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Extrapolation,0.5831183309444179
542_pollution,6,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Interpolation,-0.28716272569483575
542_pollution,6,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Interpolation,-0.6910849131032617
542_pollution,6,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Interpolation,-0.6943579108716724
542_pollution,6,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Interpolation,0.6982079660978744
542_pollution,6,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Interpolation,0.20275905597006516
542_pollution,6,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Extrapolation,0.3002997993823681
542_pollution,6,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Extrapolation,0.5946802515609855
542_pollution,6,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Extrapolation,0.599008182494421
542_pollution,6,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Extrapolation,-0.1609674728940784
542_pollution,6,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Extrapolation,-0.02786556364538016
542_pollution,7,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Interpolation,0.2788505578142052
542_pollution,7,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Interpolation,0.23605248500946754
542_pollution,7,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Interpolation,0.1657784399824551
542_pollution,7,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Interpolation,-0.4722449972010337
542_pollution,7,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Interpolation,0.014571588512363516
542_pollution,7,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Extrapolation,0.6780642407031886
542_pollution,7,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Extrapolation,0.66225614927905
542_pollution,7,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Extrapolation,0.5572405993780039
542_pollution,7,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Extrapolation,0.5206431420910204
542_pollution,7,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Extrapolation,0.6315390683116325
542_pollution,8,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Interpolation,0.29742664035934674
542_pollution,8,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Interpolation,-0.028294362117459386
542_pollution,8,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Interpolation,0.16328029889593215
542_pollution,8,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Interpolation,0.7741698501322363
542_pollution,8,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Interpolation,0.7250535242013348
542_pollution,8,MVP,w0.0_0.3_1.0,MSE_Train,MSE_Test_Extrapolation,0.4586919104991394
542_pollution,8,MVP,w0.0_0.3_1.0,AIC_Train,MSE_Test_Extrapolation,0.1587254943117417
542_pollution,8,MVP,w0.0_0.3_1.0,BIC_Train,MSE_Test_Extrapolation,0.3189622601905881
542_pollution,8,MVP,w0.0_0.3_1.0,MDL_Train,MSE_Test_Extrapolation,0.8932454556903572
542_pollution,8,MVP,w0.0_0.3_1.0,PSM_Train,MSE_Test_Extrapolation,0.7242978884177825
