Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,1495041.8980882028,2505283.7705305796,194694.9349204619,11867543.435329208,0.11139928382709727,0.21462488530052015,0.0,1.0,1.0
AIC_Train,5611.853357288686,316.18136912232285,5176.73828125,6524.3740234375,0.32287291173533417,0.23461931085999052,0.0,1.0,1.0
BIC_Train,5664.233383166428,293.7682763425095,5267.929,6528.206,0.31445815734670085,0.2330981810685346,0.0,1.0,1.0
MDL_Train,3100.7574942183596,175.74210385231459,2808.1077745056027,3905.2977532002014,0.26672657005210904,0.1601747256764108,0.0,1.0,1.0
PSM_Train,0.03841307167241745,0.1432920511864929,0.0,1.72843880035468,0.022224143350944785,0.08290258883166071,0.0,1.0,1.0
Extrapolation_Divergence,3.8352019325347486,4.033290992341729,0.0,10.0,0.3835201932534748,0.40332909923416976,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,9.565228884208777,1.9814887080798567,0.0,10.0,0.9565228884208776,0.19814887080797594,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,9.571539245688589,1.9644936238324293,0.0,10.0,0.9571539245688588,0.19644936238324326,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,9.567510362210038,1.968458871773868,0.0,10.0,0.9567510362210038,0.19684588717738627,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,9.57550794370002,1.9477627454437885,0.0,10.0,0.9575507943700018,0.194776274544376,0.0,1.0,1.0
