Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,1,1,1,9961891.098201936,10653643.50130579,10471780.172268776,3156.232358354686,-3231.342529296875,6464.68505859375,6468.517,3234.055744571596,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,3,3,9961729.653224494,10650963.173711684,10465363.08778986,3156.1294628134056,-3231.33935546875,6464.6787109375,6468.5107,3237.3484446264188,8.08086202435383e-06,0.000897360703812,0.0010624115288001,0.000897360703812,0.0010624115288001,1.036694001255276
1,2,4,1,4,4,9961723.416490491,10650996.30635829,10465348.07528148,3156.128560380194,-3231.33935546875,6464.6787109375,6468.5107,3239.5977849189635,6.023053235913098e-07,0.0001240838710689,0.0001588802760764,0.0001240838710689,0.0001588802760764,0.6659276490310323
1,3,5,2,5,5,9527604.44483198,9691407.335038817,9694639.341561288,3080.793372432363,-3223.743896484375,6451.48779296875,6459.1514,3234.50715612939,0.0445565737841297,10.0,10.0,10.0,10.0,7.362091082915702
1,4,7,1,10,9,9316313.020790989,9868692.575303622,9712949.798344605,3043.398618165936,-3219.921875,6441.84375,6445.676,3244.61168572235,0.0112131587637775,10.0,10.0,10.0,10.0,0.9995798082774556
1,5,8,1,9,7,9073531.77625431,9675351.581469296,9379222.318846105,3012.1740620091946,-3215.41650390625,6432.8330078125,6436.665,3235.642932220227,0.0264052325053,10.0,10.0,10.0,10.0,1.0169640806522129
1,6,9,1,12,9,3553036.0998539617,4074883.079999214,3201539.3802684285,1869.6529590501275,-3055.585693359375,6113.17138671875,6117.0034,3084.6777701953906,0.9375591499720975,10.0,10.0,10.0,10.0,0.7400314608727938
1,7,11,1,15,9,3552337.7809074903,4074398.633578832,3200741.093775548,1869.4709832551496,-3055.55224609375,6113.1044921875,6116.9365,3091.235995646821,9.817918182530378e-05,10.0,10.0,10.0,10.0,0.740064604148078
1,8,13,3,21,12,3255988.7204346056,3788587.69870079,2696960.5668209908,1798.6649316759156,-3040.6806640625,6087.361328125,6098.857,3095.5817094868507,0.0435547392471194,10.0,10.0,10.0,10.0,10.0
1,9,14,3,22,13,2176013.1268504737,2742580.94062808,1694102.189819283,1447.114853820936,-2972.09228515625,5950.1845703125,5961.68,3031.2628736234665,0.4028927983610004,10.0,10.0,10.0,10.0,10.0
1,10,15,3,25,13,1435065.2559972983,1842391.8470064008,827261.0349330372,1196.226021250737,-2900.989501953125,5807.97900390625,5819.4746,2967.8285931637315,0.4163936161248038,10.0,10.0,10.0,10.0,10.0
1,11,16,3,28,13,1325106.142613205,1758931.3130254804,756554.2458224521,1148.7343474206411,-2887.3984375,5780.796875,5792.2925,2961.9333531501334,0.0797178159163051,10.0,10.0,10.0,10.0,10.0
