Run,Metric,Clamp_Method,Constant_Value,Threshold_Value,Upper_Clamp,Original_Min,Original_Max,Clamped_Min,Clamped_Max,N_Clamped_Upper,N_Total,N_Valid
1,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,29.95526881514477,0.0,10.0,21,64,64
1,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,2163433.023979868,0.0,10.0,61,64,64
1,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,5649661.472381456,0.0,10.0,61,64,64
1,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,5215150038.521411,0.0,10.0,61,64,64
1,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,10418586885.480516,0.0,10.0,61,64,64
2,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,4239456408.8076873,0.0,10.0,15,65,65
2,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,2.1514933424094243e+36,0.0,10.0,62,65,65
2,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1.5600454344055488e+18,0.0,10.0,62,65,65
2,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1.5856279717718986e+29,0.0,10.0,62,65,65
2,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,4.832966819848003e+16,0.0,10.0,62,65,65
3,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,7.11946745486083,0.0,7.11946745486083,0,86,86
3,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,957532770.48192,0.0,10.0,84,86,86
3,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,883037012273.9336,0.0,10.0,84,86,86
3,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,15746793789291.76,0.0,10.0,84,86,86
3,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,61795839366197.27,0.0,10.0,84,86,86
4,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,7357.178076526906,0.0,10.0,45,60,60
4,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,31501641116191.863,0.0,10.0,58,60,60
4,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,19813736049595.207,0.0,10.0,58,60,60
4,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,198969996600230.56,0.0,10.0,58,60,60
4,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,7329328735127.168,0.0,10.0,58,60,60
5,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,8173013258987651.0,0.0,10.0,4,73,73
5,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,350239960.72070104,0.0,10.0,70,73,73
5,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,337363713.0635568,0.0,10.0,70,73,73
5,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,3.9514636131532936e+46,0.0,10.0,70,73,73
5,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,3.120315617681256e+47,0.0,10.0,70,73,73
6,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,5.405150926200782,0.0,5.405150926200782,0,57,57
6,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,256712668.0623609,0.0,10.0,55,57,57
6,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,5632158.497000271,0.0,10.0,55,57,57
6,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,9465331.599065091,0.0,10.0,55,57,57
6,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,7619062.43255888,0.0,10.0,55,57,57
7,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,5.967498823847652,0.0,5.967498823847652,0,49,49
7,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,5190944.252001862,0.0,10.0,45,49,49
7,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,6681276.396857211,0.0,10.0,45,49,49
7,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,9138744.560144795,0.0,10.0,46,49,49
7,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,11218370.918874018,0.0,10.0,46,49,49
8,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,120.76928433070172,0.0,10.0,2,65,65
8,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,181695289.1693321,0.0,10.0,61,65,65
8,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,282056396236.48865,0.0,10.0,61,65,65
8,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,8.087380580873994e+20,0.0,10.0,61,65,65
8,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,275092948168363.47,0.0,10.0,61,65,65
9,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,7.751875306548448e+57,0.0,10.0,55,58,58
9,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,47458458.85509695,0.0,10.0,55,58,58
9,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,139014655.22852042,0.0,10.0,55,58,58
9,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1.8472384638376485e+133,0.0,10.0,55,58,58
9,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1.8472384638376485e+133,0.0,10.0,55,58,58
10,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,154038.94527301777,0.0,10.0,73,81,81
10,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,53817894538997.35,0.0,10.0,78,81,81
10,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,405256942026871.75,0.0,10.0,78,81,81
10,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1.198868720864343e+23,0.0,10.0,78,81,81
10,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,2.1405818715941832e+23,0.0,10.0,78,81,81
11,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,9.659949534428266e+55,0.0,10.0,13,63,63
11,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,4298030.6596601065,0.0,10.0,60,63,63
11,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,7739879.585258322,0.0,10.0,60,63,63
11,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,8.318259680373435e+177,0.0,10.0,60,63,63
