Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,1,1,1,0.37023388767971205,10653643.50130579,10471780.172268776,3156.232358354686,-3231.342529296875,0.7942267298805737,0.7586598010406402,0.4741517931040883,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,3,3,0.3702278066930593,10650963.173711684,10465363.08778986,3156.1294628134056,-3231.33935546875,0.7942231011752818,0.7586560555483848,0.47813081467856466,4.457798628950272e-06,8.973607038120001e-05,0.00010624115288000999,8.973607038120001e-05,0.00010624115288000999,0.10366940012552761
1,2,4,1,4,4,0.37022757178023125,10650996.30635829,10465348.07528148,3156.128560380194,-3231.33935546875,0.7942231011752818,0.7586560555483848,0.4808490013956527,3.322610678938659e-07,1.2408387106889999e-05,1.5888027607639998e-05,1.2408387106889999e-05,1.5888027607639998e-05,0.06659276490310323
1,3,5,2,5,5,0.3538760462377021,9691407.335038817,9694639.341561288,3080.793372432363,-3223.743896484375,0.7866823724475198,0.75309174036319,0.4746972956696194,0.024579584817437546,1.0,1.0,1.0,1.0,0.7362091082915703
1,4,7,1,10,9,0.3459175432864849,9868692.575303622,9712949.798344605,3043.398618165936,-3219.921875,0.7811692525844057,0.74508031078549,0.4869079861609786,0.006185726672813239,1.0,1.0,1.0,1.0,0.09995798082774557
1,5,8,1,9,7,0.336772944730651,9675351.581469296,9379222.318846105,3012.1740620091946,-3215.41650390625,0.7760181658569536,0.739723067814991,0.4760698098658628,0.014566417407510666,1.0,1.0,1.0,1.0,0.10169640806522129
1,6,9,1,12,9,0.12883795005575932,4074883.079999214,3201539.3802684285,1869.6529590501275,-3055.585693359375,0.5932801960617382,0.5496770285809,0.2936378765923492,0.5172034716976375,1.0,1.0,1.0,1.0,0.07400314608727938
1,7,11,1,15,9,0.1288116471737488,4074398.633578832,3200741.093775548,1869.4709832551496,-3055.55224609375,0.5932419550905851,0.5496372550202824,0.3015630808706127,5.416043744012515e-05,1.0,1.0,1.0,1.0,0.0740064604148078
1,8,13,3,21,12,0.11764936321892851,3788587.69870079,2696960.5668209908,1798.6649316759156,-3040.6806640625,0.5785256012136624,0.5388885840309213,0.30681460358391055,0.024026923899325082,1.0,1.0,1.0,1.0,1.0
1,9,14,3,22,13,0.07697100162525411,2742580.94062808,1694102.189819283,1447.114853820936,-2972.09228515625,0.5001070468061113,0.4573337600420068,0.2290893230285956,0.2222553681444921,1.0,1.0,1.0,1.0,1.0
