Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
557_analcatdata_apnea1,1,SVP,w0.7_0.3_0.5,MSE_Train,MSE_Test_Interpolation,-0.5157967032967032
557_analcatdata_apnea1,1,SVP,w0.7_0.3_0.5,AIC_Train,MSE_Test_Interpolation,-0.46167582417582415
557_analcatdata_apnea1,1,SVP,w0.7_0.3_0.5,BIC_Train,MSE_Test_Interpolation,-0.49400183150183147
557_analcatdata_apnea1,1,SVP,w0.7_0.3_0.5,MDL_Train,MSE_Test_Interpolation,-0.47957875457875454
557_analcatdata_apnea1,1,SVP,w0.7_0.3_0.5,PSM_Train,MSE_Test_Interpolation,-0.571565934065934
557_analcatdata_apnea1,1,SVP,w0.7_0.3_0.5,MSE_Train,MSE_Test_Extrapolation,-0.26652930402930397
557_analcatdata_apnea1,1,SVP,w0.7_0.3_0.5,AIC_Train,MSE_Test_Extrapolation,-0.10160256410256409
557_analcatdata_apnea1,1,SVP,w0.7_0.3_0.5,BIC_Train,MSE_Test_Extrapolation,-0.15517399267399265
557_analcatdata_apnea1,1,SVP,w0.7_0.3_0.5,MDL_Train,MSE_Test_Extrapolation,-0.3999542124542124
557_analcatdata_apnea1,1,SVP,w0.7_0.3_0.5,PSM_Train,MSE_Test_Extrapolation,-0.35938644688644683
557_analcatdata_apnea1,2,SVP,w0.7_0.3_0.5,MSE_Train,MSE_Test_Interpolation,-0.22740384615384618
557_analcatdata_apnea1,2,SVP,w0.7_0.3_0.5,AIC_Train,MSE_Test_Interpolation,-0.16479638108917646
557_analcatdata_apnea1,2,SVP,w0.7_0.3_0.5,BIC_Train,MSE_Test_Interpolation,-0.19281242147590555
557_analcatdata_apnea1,2,SVP,w0.7_0.3_0.5,MDL_Train,MSE_Test_Interpolation,-0.5274912587412587
557_analcatdata_apnea1,2,SVP,w0.7_0.3_0.5,PSM_Train,MSE_Test_Interpolation,-0.35450174825174824
557_analcatdata_apnea1,2,SVP,w0.7_0.3_0.5,MSE_Train,MSE_Test_Extrapolation,0.1243444055944056
557_analcatdata_apnea1,2,SVP,w0.7_0.3_0.5,AIC_Train,MSE_Test_Extrapolation,0.16459970061844278
557_analcatdata_apnea1,2,SVP,w0.7_0.3_0.5,BIC_Train,MSE_Test_Extrapolation,0.1590052338953518
557_analcatdata_apnea1,2,SVP,w0.7_0.3_0.5,MDL_Train,MSE_Test_Extrapolation,0.06000874125874126
557_analcatdata_apnea1,2,SVP,w0.7_0.3_0.5,PSM_Train,MSE_Test_Extrapolation,-0.0805506993006993
557_analcatdata_apnea1,3,SVP,w0.7_0.3_0.5,MSE_Train,MSE_Test_Interpolation,0.2606821076465871
557_analcatdata_apnea1,3,SVP,w0.7_0.3_0.5,AIC_Train,MSE_Test_Interpolation,0.22066135195056372
557_analcatdata_apnea1,3,SVP,w0.7_0.3_0.5,BIC_Train,MSE_Test_Interpolation,0.2442096325298363
