Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,1,1,1,19658.310668576392,10286.624177713587,158278.9699778364,122.30323353588544,-957.38330078125,1916.7666015625,1919.7772,959.878972845314,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0,2,2,12166.058245538969,11427.059340302818,161249.52647437155,84.35351871502458,-931.3277587890624,1862.655517578125,1862.6555,935.3791282347054,0.4798500420178684,10.0,10.0,10.0,10.0,1.2828101628117743
1,2,5,0,5,4,8900.070394043029,11151.08105462072,33309737.99954164,77.67203651613008,-901.3584594726562,1802.7169189453125,1802.7169,910.8616007370252,0.1041968013315187,10.0,10.0,10.0,10.0,10.0
1,3,6,2,10,7,3466.152012604932,2149.4440052956274,43591.50640074312,58.63174959587597,-824.1533813476562,1652.3067626953125,1658.328,845.9212410324694,0.9430146876000663,6.863261885648526,10.0,6.863261885648526,10.0,1.0365018004061122
1,4,8,3,14,8,1256.8090376419443,1602.463686924459,26487.14000757375,33.50896671539552,-748.5604248046875,1503.120849609375,1512.1527,780.0575047842798,0.5072344837623382,10.0,10.0,10.0,10.0,1.070866752768013
1,5,9,3,14,8,1102.385228014228,1113.605029891313,23934.41692252201,32.977704706702404,-738.2400512695312,1482.4801025390625,1491.512,769.664960006473,0.1311001247482081,9.046280709939865,10.0,10.0,10.0,1.0707660986201786
1,6,10,4,18,10,548.2638657069034,261.05886586369587,18140.84416516063,23.256966975630533,-685.8544311523438,1379.7088623046875,1391.7515,729.6136741598532,0.6984744624042875,3.6069803234520417,10.0,10.0,10.0,1.0943276106252935
1,7,12,2,15,9,470.62764352378224,804.2788151999499,40989.641696839855,21.62256919755392,-674.3974609375,1352.794921875,1358.8162,709.6633504919973,0.0763451273566842,3.977973476941867,10.0,10.0,10.0,1.0974481742246476
1,8,14,2,16,10,458.8431143471712,812.007567273187,41224.99079373278,21.34114138770899,-672.4959716796875,1348.991943359375,1355.0132,711.6454842301871,0.0126791038451619,2.9836949488568907,10.0,10.0,10.0,1.0947419541243153
1,9,16,5,21,14,371.2524421610252,575.9555698534022,12461.227427205577,19.26783936716204,-656.60693359375,1323.2138671875,1338.2671,714.3297282296348,0.1059130616138038,4.389882057817516,10.0,10.0,10.0,1.050737626208641
1,10,20,6,26,15,281.2774515381516,531.5980440429088,8434.067362305748,16.609640951654242,-635.8055419921875,1283.611083984375,1301.6749,708.5318942879346,0.0693851603846262,3.84355498639266,10.0,10.0,10.0,1.050673062957587
1,11,22,6,28,16,186.4880155100844,584.2715181412958,6892.8928143255125,13.191592248355123,-605.152099609375,1222.30419921875,1240.368,685.1382160781061,0.2054871756200111,2.9621895053511578,10.0,10.0,10.0,1.0424601444792518
1,12,24,6,30,16,154.01797195338153,550.1115604664066,6306.17332446121,12.235692478540434,-590.6514282226562,1193.3028564453125,1211.3667,676.1527931443044,0.0956492311968769,2.8642239168717136,10.0,10.0,10.0,1.0473554962982694
1,13,26,7,34,16,118.52992461849912,469.64364409541344,6574.683707900798,10.883746271830187,-570.9782104492188,1155.9564208984375,1177.0309,667.5492803331618,0.1309515563399391,2.656601368194928,10.0,10.0,10.0,1.0564753131378912
1,14,27,7,38,18,112.99290222756876,265.54922018841006,7442.874214494483,10.62219271472618,-567.3902587890625,1148.780517578125,1169.855,679.5280458999694,0.0478408675138326,3.221603402276894,10.0,10.0,10.0,1.0596340510985742
1,15,29,8,42,18,96.27540374169185,460.5429291724453,5187.1709011385055,9.811715271754805,-555.3817749023438,1126.7635498046875,1150.8486,679.0800179397656,0.0800559943939238,2.6994016778128795,9.848996008464384,10.0,10.0,1.038170257079525
1,16,31,8,44,18,94.65239102531608,441.6534957443611,6164.610997686485,9.449234193506642,-554.23681640625,1124.4736328125,1148.5587,683.7589022095412,0.008501170938036,2.602605725716969,9.542495670608917,10.0,10.0,1.046547907357336
1,17,32,9,46,20,90.53659593494996,375.108214039359,8242.151996789195,9.436567774550545,-550.78271484375,1119.5654296875,1146.6611,690.9013606539852,0.0444569730411429,2.959743111941243,10.0,10.0,10.0,1.0482932786897377
1,18,33,8,47,18,87.41841356303955,429.9647283058075,6022.958989457219,9.079711388943084,-548.275146484375,1112.55029296875,1136.6354,686.468550106775,0.0350477432440996,2.568740174674492,9.408602565660091,10.0,10.0,1.0469187273691882
1,19,36,10,52,21,83.85153414937706,381.1814466261596,7974.155222302194,9.139786873805566,-545.0198974609375,1110.039794921875,1140.1461,705.6404770021788,0.0138860030034054,2.9284106786829733,10.0,10.0,10.0,1.0481920247008525
1,20,38,6,46,18,79.31568825753853,475.14779107922175,6020.193991531305,8.87964403820515,-540.8497924804688,1093.6995849609375,1111.7634,676.1139066793957,0.0278057607976621,2.0294836002163965,8.22618649449705,10.0,10.0,1.0645804804699202
1,21,39,6,47,16,72.56636853428455,465.34484020068857,9440.263989288327,8.360510053319425,-534.231689453125,1080.46337890625,1098.5272,666.8737848057466,0.0889349638672408,2.632400201015792,10.0,10.0,10.0,1.068698092747363
1,22,41,6,49,16,60.34995637754275,405.9479462656321,7461.943895662888,7.740794680168974,-520.354736328125,1052.70947265625,1070.7733,658.5195228754513,0.092171043126826,2.692942913171424,10.0,10.0,10.0,1.0680117876151132
1,23,43,6,52,16,56.69485863140406,375.4818255992956,7183.344706892895,7.515105433573304,-515.6676025390625,1043.335205078125,1061.399,662.1476884493358,0.0312382538698722,2.685842658453853,10.0,10.0,10.0,1.0679690377608138
1,24,45,6,54,16,53.71886573162962,346.75881560812775,6916.645330855716,7.3240364493123264,-511.6231994628906,1035.2463989257812,1053.3102,663.6466559515524,0.0269595891478421,2.678895202326722,10.0,10.0,10.0,1.0679261074753577
1,25,46,7,59,19,52.29597917683575,377.5203890609821,8230.190318264858,7.223567179994605,-509.6099243164063,1033.2198486328125,1054.2943,685.6360744331394,0.0268439974031816,2.812907396284238,10.0,10.0,10.0,1.074422985798903
1,26,48,7,62,19,50.19145365848658,369.33173413673904,8013.847901537985,7.07178510684041,-506.5296325683594,1027.0592651367188,1048.1337,691.3901460824342,0.0205373573977885,2.785833413884916,10.0,10.0,10.0,1.0749910765940172
1,27,50,7,63,19,48.36545289055289,372.97486824512026,8251.646590563685,6.950062255321848,-503.7497863769531,1021.4995727539062,1042.574,691.5529906412837,0.0185295508410212,2.790890906268546,10.0,10.0,10.0,1.074744636572257
1,28,52,7,66,19,46.93613844804301,344.18736390039885,7976.457144598159,6.83697981345508,-501.5005187988281,1017.0010375976562,1038.0754,698.1391453347113,0.0149991382735039,2.7828451944351533,10.0,10.0,10.0,1.07471559694674
