Run,Metric,Clamp_Method,Constant_Value,Threshold_Value,Upper_Clamp,Original_Min,Original_Max,Clamped_Min,Clamped_Max,N_Clamped_Upper,N_Total,N_Valid
1,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,145.36173164444608,0.0,10.0,1,63,63
1,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,3684.695715761077,0.0,10.0,13,63,63
1,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,27257.678861459804,0.0,10.0,61,63,63
1,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1143140513.0512054,0.0,10.0,52,63,63
1,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,8005350846.183184,0.0,10.0,62,63,63
2,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.3049383247364903,0.0,1.3049383247364903,0,87,87
2,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,114.62546933533471,0.0,10.0,48,87,87
2,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,211.47208849808013,0.0,10.0,84,87,87
2,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,6780.023653149395,0.0,10.0,85,87,87
2,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,82336.941190111,0.0,10.0,85,87,87
3,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.5393938612645934,0.0,1.5393938612645934,0,89,89
3,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,703.734116565319,0.0,10.0,86,89,89
3,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,703.734116565319,0.0,10.0,86,89,89
3,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,7862.89414369247,0.0,10.0,86,89,89
3,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,7862.89414369247,0.0,10.0,86,89,89
4,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.1950453956257043,0.0,1.1950453956257043,0,85,85
4,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,114.68298408224456,0.0,10.0,77,85,85
4,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,114.68298408224456,0.0,10.0,83,85,85
4,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,458.1198948165449,0.0,10.0,84,85,85
4,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,794.7976515721218,0.0,10.0,84,85,85
5,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.3571529540897012,0.0,1.3571529540897012,0,84,84
5,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,182.7812137518808,0.0,10.0,5,84,84
5,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,182.7812137518808,0.0,10.0,82,84,84
5,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1965.986227403708,0.0,10.0,83,84,84
5,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1965.986227403708,0.0,10.0,83,84,84
6,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.529974418653649,0.0,1.529974418653649,0,83,83
6,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,3128.6250119094843,0.0,10.0,82,83,83
6,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,5104.933190110067,0.0,10.0,82,83,83
6,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1929.669077954198,0.0,10.0,82,83,83
6,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,14601.591641285311,0.0,10.0,82,83,83
7,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,2.1623928100469745,0.0,2.1623928100469745,0,80,80
7,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,11120.089049968528,0.0,10.0,77,80,80
7,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,62560.59206539705,0.0,10.0,77,80,80
7,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,19548.78384832017,0.0,10.0,77,80,80
7,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,27778.605418086787,0.0,10.0,77,80,80
8,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.0656823301132272,0.0,1.0656823301132272,0,40,40
