Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,738.7210654364643,2680.7607027425297,3.807655480024144,22563.665064782494,0.03257615492079314,0.11882879639288521,0.0,1.0,1.0
AIC_Train,1016.1098900790558,283.03876581911317,664.2348022460938,2171.030517578125,0.23352541041399522,0.18784149897635188,0.0,1.0,1.0
BIC_Train,1053.3384081695488,267.1212860733629,721.4369,2174.0413,0.22848719731920727,0.18389128249464384,0.0,1.0,1.0
MDL_Train,801.3539833181748,149.87181017135657,563.6757032059616,1399.4670686849352,0.28437513227479316,0.17931725112458935,0.0,1.0,1.0
PSM_Train,0.06735019825570727,0.15165259413881121,0.0,2.293408202352452,0.02936686028532694,0.06612542589812592,0.0,1.0,1.0
Extrapolation_Divergence,0.9266766237407155,0.7075114982069196,0.0,10.0,0.09266766237407154,0.07075114982069215,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,7.267505857193194,3.3654092464100995,0.0,10.0,0.7267505857193193,0.336540924641009,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,9.552963750879368,1.6800042702691902,0.0,10.0,0.9552963750879367,0.1680004270269141,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,7.96036176731121,3.3292013346212253,0.0,10.0,0.796036176731121,0.3329201334621321,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,9.534471081156997,1.7976388323182098,0.0,10.0,0.9534471081156997,0.17976388323182066,0.0,1.0,1.0
