Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
561_cpu,1,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Interpolation,0.07426075268817205
561_cpu,1,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Interpolation,4.800307219662059e-05
561_cpu,1,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Interpolation,0.010896697388632873
561_cpu,1,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Interpolation,0.5226094470046083
561_cpu,1,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Interpolation,0.07594086021505377
561_cpu,1,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Extrapolation,0.35339861751152074
561_cpu,1,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Extrapolation,0.18802803379416283
561_cpu,1,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Extrapolation,0.19743663594470048
561_cpu,1,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Extrapolation,0.7012768817204301
561_cpu,1,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Extrapolation,0.2776977726574501
561_cpu,2,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Interpolation,0.6317161186848436
561_cpu,2,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Interpolation,-0.48990304002332863
561_cpu,2,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Interpolation,-0.48862725085660125
561_cpu,2,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Interpolation,0.7037070788073194
561_cpu,2,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Interpolation,0.3798206604942771
561_cpu,2,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Extrapolation,0.5217066413938907
561_cpu,2,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Extrapolation,-0.5853502952540642
561_cpu,2,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Extrapolation,-0.5879018735875191
561_cpu,2,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Extrapolation,0.7102318291171538
561_cpu,2,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Extrapolation,0.44911423780710064
561_cpu,3,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Interpolation,0.6681477698331633
561_cpu,3,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Interpolation,0.6145386448757235
561_cpu,3,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Interpolation,0.5840313244807628
561_cpu,3,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Interpolation,-0.5461184882533198
561_cpu,3,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Interpolation,0.379979570990807
561_cpu,3,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Extrapolation,-0.09034729315628194
561_cpu,3,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Extrapolation,-0.11598569969356487
561_cpu,3,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Extrapolation,-0.0815457950289411
561_cpu,3,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Extrapolation,-0.06458971739870618
561_cpu,3,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Extrapolation,-0.01966292134831461
561_cpu,4,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Interpolation,0.28379910103576317
561_cpu,4,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Interpolation,0.624780144615986
561_cpu,4,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Interpolation,0.6288059409810436
561_cpu,4,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Interpolation,-0.5461989446941568
561_cpu,4,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Interpolation,0.17783857729138167
561_cpu,4,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Extrapolation,0.10838381864373657
561_cpu,4,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Extrapolation,0.39970685948798124
561_cpu,4,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Extrapolation,0.40267735000977134
561_cpu,4,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Extrapolation,-0.21676763728747314
561_cpu,4,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Extrapolation,0.05286300566738323
561_cpu,5,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Interpolation,0.2802875367014276
561_cpu,5,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Interpolation,0.4934291789004759
561_cpu,5,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Interpolation,0.433208464108535
561_cpu,5,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Interpolation,0.05681887212716413
561_cpu,5,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Interpolation,0.28913637744254334
561_cpu,5,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Extrapolation,-0.11272653639769162
561_cpu,5,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Extrapolation,0.031629037157031484
561_cpu,5,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Extrapolation,-0.006317707806013972
561_cpu,5,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Extrapolation,-0.7022375215146299
561_cpu,5,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Extrapolation,-0.11282778171509569
561_cpu,6,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Interpolation,-0.010431971789597413
561_cpu,6,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Interpolation,0.9116745728558835
561_cpu,6,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Interpolation,0.9009067629402628
561_cpu,6,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Interpolation,-0.6096301582637168
561_cpu,6,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Interpolation,0.21718231812266486
561_cpu,6,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Extrapolation,-0.5183661475168968
561_cpu,6,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Extrapolation,0.27647873724864613
561_cpu,6,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Extrapolation,0.22750934049788
561_cpu,6,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Extrapolation,-0.4901767348138197
561_cpu,6,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Extrapolation,-0.2725536291507493
561_cpu,7,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Interpolation,0.6225694159565864
561_cpu,7,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Interpolation,0.7058292653031734
561_cpu,7,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Interpolation,0.7000041022395299
561_cpu,7,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Interpolation,-0.4517958966081836
561_cpu,7,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Interpolation,0.4309800221594292
561_cpu,7,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Extrapolation,-0.6772777618363007
561_cpu,7,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Extrapolation,-0.7780121894045945
561_cpu,7,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Extrapolation,-0.7610407876230663
561_cpu,7,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Extrapolation,0.48525550867323025
561_cpu,7,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Extrapolation,-0.5405297702766058
561_cpu,8,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Interpolation,0.6759849906191371
561_cpu,8,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Interpolation,0.7157598499061915
561_cpu,8,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Interpolation,0.7200750469043153
561_cpu,8,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Interpolation,0.23602251407129457
561_cpu,8,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Interpolation,0.5566604127579738
561_cpu,8,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Extrapolation,0.09793621013133211
561_cpu,8,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Extrapolation,0.01482176360225141
561_cpu,8,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Extrapolation,0.012945590994371484
561_cpu,8,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Extrapolation,0.5288930581613509
561_cpu,8,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Extrapolation,0.012945590994371484
561_cpu,9,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Interpolation,0.44640795044966236
561_cpu,9,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Interpolation,0.494711702509548
561_cpu,9,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Interpolation,0.4965313317601578
561_cpu,9,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Interpolation,0.5435792457494832
561_cpu,9,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Interpolation,0.42281885067535757
561_cpu,9,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Extrapolation,0.4396542674178535
561_cpu,9,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Extrapolation,0.497721089347095
561_cpu,9,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Extrapolation,0.4962513887985256
561_cpu,9,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Extrapolation,0.5341661636645978
561_cpu,9,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Extrapolation,0.41421060460516496
561_cpu,10,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Interpolation,0.2421228118921923
561_cpu,10,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Interpolation,0.21247863962372326
561_cpu,10,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Interpolation,0.1338445935749281
561_cpu,10,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Interpolation,-0.13909419283134208
561_cpu,10,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Interpolation,0.13748263406501807
561_cpu,10,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Extrapolation,-0.12770213948318979
561_cpu,10,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Extrapolation,-0.17580127538894955
561_cpu,10,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Extrapolation,-0.13590074884263506
561_cpu,10,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Extrapolation,0.3644901361489303
561_cpu,10,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Extrapolation,-0.13887190886357323
561_cpu,11,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Interpolation,0.5011244520678482
561_cpu,11,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Interpolation,0.7491900133409567
561_cpu,11,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Interpolation,0.7552887364208118
561_cpu,11,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Interpolation,0.10478368591576137
561_cpu,11,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Interpolation,0.30466933485801406
561_cpu,11,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Extrapolation,0.6692967409948541
561_cpu,11,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Extrapolation,0.8500476462740613
561_cpu,11,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Extrapolation,0.8634648370497426
561_cpu,11,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Extrapolation,0.08717362302267963
561_cpu,11,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Extrapolation,0.4468458166571373
561_cpu,12,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Interpolation,0.8599153886832362
561_cpu,12,SVP,w0.2_0.5_0.6,AIC_Train,MSE_Test_Interpolation,0.8895293495505023
561_cpu,12,SVP,w0.2_0.5_0.6,BIC_Train,MSE_Test_Interpolation,0.8926493918561607
561_cpu,12,SVP,w0.2_0.5_0.6,MDL_Train,MSE_Test_Interpolation,0.3042834479111581
561_cpu,12,SVP,w0.2_0.5_0.6,PSM_Train,MSE_Test_Interpolation,0.5835536753040718
561_cpu,12,SVP,w0.2_0.5_0.6,MSE_Train,MSE_Test_Extrapolation,-0.5833421470121628
