Run,Equation_Index,Hybrid_MSE_Train,Hybrid_AIC_Train,Hybrid_BIC_Train,Hybrid_MDL_Train,Hybrid_PSM_Train,Extrapolation_Divergence,Sensitivity_Interpolation,Sensitivity_Extrapolation,Lambda1,Lambda2,Lambda3,Complexity,MSE_Test_Interpolation,MSE_Test_Extrapolation
1,0,0.871215746469741,0.8312552169956254,0.8249598445385407,0.47404566020169053,0.0,0.0,0.0,0.0,0.1,0.6,0.1,1,10286.624177713587,158278.9699778364
1,1,1.2519383614759434,1.508171958222475,1.4984643009952685,1.1575604120842433,0.922058207950082,0.12828101628117744,1.0,1.0,0.1,0.6,0.1,2,11427.059340302818,161249.52647437155
1,2,1.1943403797798238,1.5555650079933678,1.5443733476230692,1.2153978036517512,0.8454331685151554,1.0,1.0,1.0,0.1,0.6,0.1,5,11151.08105462072,33309737.99954164
1,3,0.6756344120403184,1.1779045392752459,1.1671340631802432,0.8598592878452894,0.9333455723904984,0.10365018004061122,0.6863261885648526,1.0,0.1,0.6,0.1,6,2149.4440052956274,43591.50640074312
1,4,0.7662498599842091,1.2674437569810157,1.2550521928536398,0.9696031841685819,0.9318792743311461,0.1070866752768013,1.0,1.0,0.1,0.6,0.1,8,1602.463686924459,26487.14000757375
1,5,0.7021806257522847,1.1965211554439668,1.183618585511576,0.8999446434076367,0.7106483894594003,0.10707660986201786,0.9046280709939865,1.0,0.1,0.6,0.1,9,1113.605029891313,23934.41692252201
1,6,0.35149594531343553,0.8021935891116532,0.7888191859641548,0.5259020395803929,0.6319195056106406,0.10943276106252935,0.36069803234520414,1.0,0.1,0.6,0.1,10,261.05886586369587,18140.84416516063
1,7,0.37034539650249265,0.8066226790451949,0.7884367051399886,0.5243228538398641,0.3829418300592329,0.10974481742246475,0.3977973476941867,1.0,0.1,0.6,0.1,12,804.2788151999499,40989.641696839855
1,8,0.31013925543282195,0.744415020549568,0.7261348750232987,0.4670106451793181,0.2954976149894738,0.10947419541243153,0.2983694948856891,1.0,0.1,0.6,0.1,14,812.007567273187,41224.99079373278
1,9,0.39018784889487845,0.8112383265360492,0.7985377302662507,0.5541534481198346,0.4200818131246815,0.1050737626208641,0.43898820578175163,1.0,0.1,0.6,0.1,16,575.9555698534022,12461.227427205577
1,10,0.35341930063847826,0.752175274685396,0.7405667064168963,0.5144362389354433,0.3713741992686448,0.1050673062957587,0.384355498639266,1.0,0.1,0.6,0.1,20,531.5980440429088,8434.067362305748
1,11,0.29625355663600095,0.6585242913025832,0.6453978333490983,0.43348232698913836,0.37775501279538026,0.10424601444792518,0.29621895053511577,1.0,0.1,0.6,0.1,22,584.2715181412958,6892.8928143255125
1,12,0.28898529076806534,0.6334482792222724,0.6196038149663154,0.41690254864223186,0.3240331420239113,0.10473554962982694,0.2864223916871714,1.0,0.1,0.6,0.1,24,550.1115604664066,6306.17332446121
1,13,0.2750460743297353,0.5962967901564147,0.583600254186696,0.39424254166026973,0.32705994047857,0.10564753131378912,0.2656601368194928,1.0,0.1,0.6,0.1,26,469.64364409541344,6574.683707900798
1,14,0.30873234681330464,0.6254661397950071,0.6125919400232432,0.4425064948259616,0.3247527070315832,0.10596340510985743,0.3221603402276894,1.0,0.1,0.6,0.1,27,265.54922018841006,7442.874214494483
1,15,0.2749345369371842,0.5777975782884075,0.5664507979475408,0.4089136611111415,0.3057427608276684,0.10381702570795251,0.26994016778128793,0.9848996008464385,0.1,0.6,0.1,29,460.5429291724453,5187.1709011385055
1,16,0.2660736104279089,0.5674888680433736,0.5560854040163689,0.40572282571825774,0.26575356424187474,0.10465479073573361,0.2602605725716969,0.9542495670608917,0.1,0.6,0.1,31,441.6534957443611,6164.610997686485
1,17,0.29191191172985664,0.5902522302828763,0.5807998009146083,0.44028930917825504,0.3074521946761307,0.10482932786897377,0.2959743111941243,1.0,0.1,0.6,0.1,32,375.108214039359,8242.151996789195
1,18,0.26238579745991825,0.5562086687623861,0.5445100256868397,0.40559768451138584,0.2739615706926067,0.10469187273691882,0.2568740174674492,0.9408602565660091,0.1,0.6,0.1,33,429.9647283058075,6022.958989457219
1,19,0.28973462766083524,0.5820494892598592,0.5744337946952149,0.45604327361165053,0.2922413064725865,0.10481920247008525,0.29284106786829733,1.0,0.1,0.6,0.1,36,381.1814466261596,7974.155222302194
1,20,0.21802369418595935,0.4996952707937429,0.4833847386915859,0.3492057179081319,0.226800894950159,0.10645804804699202,0.20294836002163966,0.822618649449705,0.1,0.6,0.1,38,475.14779107922175,6020.193991531305
1,21,0.27167882754724726,0.5448652378996086,0.5282269986180337,0.3921044887221854,0.30740950776656495,0.1068698092747363,0.2632400201015792,1.0,0.1,0.6,0.1,39,465.34484020068857,9440.263989288327
1,22,0.27476301617157556,0.5300717809742458,0.5127463951621746,0.38573455758208675,0.3124462424518965,0.10680117876151132,0.26929429131714244,1.0,0.1,0.6,0.1,41,405.9479462656321,7461.943895662888
1,23,0.274174555621877,0.5234240120482088,0.5058665091719514,0.38964910912483885,0.28545113684156587,0.10679690377608138,0.2685842658453853,1.0,0.1,0.6,0.1,43,375.4818255992956,7183.344706892895
1,24,0.27362536353873124,0.5176385185252107,0.4998807515027883,0.3910253033660326,0.28316822425086596,0.10679261074753577,0.2678895202326722,1.0,0.1,0.6,0.1,45,346.75881560812775,6916.645330855716
1,25,0.2816679923482377,0.524399278638231,0.508663924744017,0.4254407018642833,0.291223522939954,0.1074422985798903,0.28129073962842377,1.0,0.1,0.6,0.1,46,377.5203890609821,8230.190318264858
