Run,Metric,Clamp_Method,Constant_Value,Threshold_Value,Upper_Clamp,Original_Min,Original_Max,Clamped_Min,Clamped_Max,N_Clamped_Upper,N_Total,N_Valid
1,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.713965827477967,0.0,0.713965827477967,0,46,46
1,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0062622469194711,0.0,0.0062622469194711,0,46,46
1,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0187110075478734,0.0,0.0187110075478734,0,46,46
1,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0043511930786199,0.0,0.0043511930786199,0,46,46
1,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0129165298640786,0.0,0.0129165298640786,0,46,46
2,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.1613531579241914,0.0,1.1613531579241914,0,44,44
2,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0030546134653276,0.0,0.0030546134653276,0,44,44
2,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0054729785939643,0.0,0.0054729785939643,0,44,44
2,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0030326624371247,0.0,0.0030326624371247,0,44,44
2,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0100832336472823,0.0,0.0100832336472823,0,44,44
3,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.7880831734052711,0.0,0.7880831734052711,0,27,27
3,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0055642349698794,0.0,0.0055642349698794,0,27,27
3,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.0138269368301623,0.0,0.0138269368301623,0,27,27
3,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.0030187722261447,0.0,0.0030187722261447,0,27,27
