Run,Equation_Index,Hybrid_MSE_Train,Hybrid_AIC_Train,Hybrid_BIC_Train,Hybrid_MDL_Train,Hybrid_PSM_Train,Extrapolation_Divergence,Sensitivity_Interpolation,Sensitivity_Extrapolation,Lambda1,Lambda2,Lambda3,Complexity,MSE_Test_Interpolation,MSE_Test_Extrapolation
1,0,0.9255282878423632,0.9800978201073329,0.9790898091158705,0.39126416968952027,0.0,0.0,0.0,0.0,0.6,0.1,1.0,1,1.0060282509561511,1.1255912530621208
1,1,0.8784989271818744,0.9932526839086395,0.987908750054215,0.41629588700552705,0.21453714213942687,0.06654486520955642,1.3926247569e-05,1.490765248059e-05,0.6,0.1,1.0,2,0.9205863043039187,0.9459458579805184
1,2,0.784732048159937,0.9628469227951377,0.9590585307974179,0.3968641717209701,0.24146881228349978,0.06271677599316608,1.62069364119e-05,1.5630956957359998e-05,0.6,0.1,1.0,3,0.7974304474535935,0.8614672997601872
1,3,0.7846717878930176,0.964285688251896,0.9635493687537132,0.40715745023724365,0.03771830294156841,0.06271677599316608,1.62069364119e-05,1.5630956957359998e-05,0.6,0.1,1.0,5,0.7960651349808505,0.8651260973854522
1,4,0.6575350658837767,0.9122013675269246,0.9092138319500557,0.37405140324470887,0.18320698878307,0.049929862965589364,6.007840731860001e-05,4.822126893184e-05,0.6,0.1,1.0,7,0.7382622898836041,0.6426018902897759
1,5,0.6001763286919722,0.8940671646222693,0.8927050280948857,0.36961687677081606,0.13576641913404267,0.06405850395308359,0.00019233908703528,0.00015437884018541,0.6,0.1,1.0,9,0.6941251825614555,0.4454452664104131
1,6,0.592655409176471,0.8897580615427508,0.8882626318498388,0.36820538406186193,0.055196815507978746,0.061297193787142504,0.00016720260327657,0.00013627018980477,0.6,0.1,1.0,10,0.7143232539087041,0.4496929095799049
1,7,0.5554020386553543,0.8753256827466831,0.8727881049389632,0.36583067187262,0.18482139868262817,0.0713965827477967,0.00036976358331594,0.00020107352660282,0.6,0.1,1.0,11,0.610356656875786,0.4101722558056465
1,8,0.5451892729197818,0.8715035217797812,0.874898600134975,0.3704328323981877,0.04762651664057649,0.06574325330097082,0.00034096400765077,0.00028234162319861996,0.6,0.1,1.0,14,0.6002259488900733,0.4312947023917544
1,9,0.49909504858176756,0.847491698873122,0.8497633663386294,0.35951320348485416,0.11750630158091498,0.06282073304976843,0.00025705180597815,0.00021388685941906,0.6,0.1,1.0,16,0.521930511093211,0.3736142497160895
1,10,0.4466211290106155,0.8161009013562716,0.8168144913813523,0.3415553946861779,0.24345957550034672,0.06187871624657674,0.00018902051009336,0.00015910210916205,0.6,0.1,1.0,17,0.5023190146420797,0.3510547877952564
1,11,0.3421228257103421,0.7422749161183753,0.7394115566427741,0.2969331320256017,0.5205848202383234,0.05640698371105166,0.00039892289623694004,0.00022115449522762,0.6,0.1,1.0,18,0.3957312600767011,0.2705586961140372
1,12,0.3392203208483898,0.7404216152965567,0.7373376370184676,0.30157764763448264,0.06663919813166007,0.060581795191096854,0.00040929082502624,0.00021848649937499,0.6,0.1,1.0,19,0.399264134268398,0.2996447937287381
1,13,0.32924622393147535,0.7333838485638065,0.7330098437881348,0.3034488341355844,0.08170824752482467,0.057711642059842236,0.00041440313491373,0.00021757369175648,0.6,0.1,1.0,20,0.4007061556311692,0.2971559517612205
1,14,0.3278456589762889,0.7336461081853007,0.7362691859024377,0.30929615572328156,0.038566506192276875,0.057565540913031676,0.00040951000204213,0.00021468280176397,0.6,0.1,1.0,22,0.3939991504399853,0.2966755313854353
1,15,0.28175730880432015,0.6903412361940897,0.6883215167298203,0.2814290653136839,0.09711249552196795,0.03973127557428137,0.0006343503509682201,0.00043557028065266,0.6,0.1,1.0,25,0.2522799254875187,0.3358573623786574
1,16,0.18919861550699157,0.5841220796773674,0.579576158487837,0.22445109879267536,0.784174477939942,0.04223714449583454,0.0018711007547873402,0.00129165298640786,0.6,0.1,1.0,26,0.177025579522788,0.2274113614289836
1,17,0.16791001252444934,0.5514754547219178,0.5452628946617851,0.20640776163285016,0.25393054834542905,0.04324782877082524,0.00161809757712589,0.0009717473448467801,0.6,0.1,1.0,27,0.1520150957875102,0.1560817372443422
1,18,0.16726545208456897,0.5518805946142019,0.5486677387361958,0.2128094354093498,0.030703634634574855,0.04324782877082524,0.00161809757712589,0.0009717473448467801,0.6,0.1,1.0,29,0.1470932041573889,0.1684732610345158
1,19,0.17646140808601554,0.561078526830471,0.5578648043659002,0.22761416778529023,0.0365117718834839,0.059942886388847684,0.00040014412222669,0.00029149745118689,0.6,0.1,1.0,30,0.1850251405605456,0.1196838747643905
1,20,0.13527829380796347,0.4924296700760881,0.4890582082664388,0.1819280684398737,0.4664907398743505,0.04850092748086885,0.00060219834573442,0.000425915745427,0.6,0.1,1.0,31,0.1326020894573613,0.1215421532108445
1,21,0.12421115937109461,0.4650053383278753,0.46011532092559815,0.17098922996296706,0.23882522636761347,0.05296086562511584,0.00044777014108789,0.00032475612635354996,0.6,0.1,1.0,32,0.1273285058792353,0.0983729356984815
1,22,0.12414048101207945,0.4647825805709518,0.45987907606555833,0.1708622060188346,0.03402378851428308,0.05303177931851853,0.00044871218975365,0.00032553379299905,0.6,0.1,1.0,33,0.1264828744619013,0.0990789241278819
1,23,0.12578302558913143,0.4678840006696067,0.466032911912956,0.177010015467672,0.03405458502833403,0.05585941869197316,0.00039765503238724996,0.00028964050810293,0.6,0.1,1.0,34,0.11172251738348,0.1006344022670695
1,24,0.12449561046936249,0.4663215551274289,0.4673707927198253,0.19128782645234213,0.039023306100259315,0.05585808738289314,0.00039659443395975003,0.00028488447370711,0.6,0.1,1.0,38,0.1157424969422451,0.101037419385534
1,25,0.12010400310594072,0.45734460294153617,0.46092347261281646,0.19814980789305756,0.06933870631016424,0.055687970531924334,0.00041398235181917006,0.00028471074753324,0.6,0.1,1.0,40,0.112000693779461,0.0876006764330674
