Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,0.18316536114392487,0.18771938512572808,0.0184746975188379,1.0265201779271589,0.1633762234203729,0.1862211465396284,0.0,1.0,1.0
AIC_Train,595.9434831442293,568.5428868538025,-766.3765258789062,2064.1171875,0.48130119582454883,0.2008635045421471,0.0,1.0,1.0
BIC_Train,660.2827493319588,533.1852613043721,-670.2123,2068.6965,0.4857755940365589,0.19467068830636933,0.0,1.0,1.0
MDL_Train,520.2447903048545,210.1354806321825,-159.01731946580605,1119.2020000670436,0.5314128016926786,0.16439704628230836,0.0,1.0,1.0
PSM_Train,0.03934665504500943,0.09259647397000335,0.0,0.8106053929811701,0.048539838725108794,0.11423125823214744,0.0,1.0,1.0
Extrapolation_Divergence,0.7823231523607316,0.5831829343375098,0.0,10.0,0.07823231523607316,0.05831829343375117,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,0.0009934574166829003,0.0007114520699964422,0.0,0.0061586438886343,0.16131106695685288,0.11552089759718347,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,0.031636659030874946,0.5237028779267052,0.0,10.0,0.003163665903087496,0.05237028779267048,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,0.02255749472785957,0.31066140012449106,0.0,7.620148878659375,0.002960243308504511,0.04076841608626767,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,0.06029669757735754,0.7057180822461452,0.0,10.0,0.006029669757735756,0.07057180822461448,0.0,1.0,1.0
