Run,Metric,Clamp_Method,Constant_Value,Threshold_Value,Upper_Clamp,Original_Min,Original_Max,Clamped_Min,Clamped_Max,N_Clamped_Upper,N_Total,N_Valid
1,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,14.655809238735216,0.0,10.0,10,69,69
1,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,164.9654804092111,0.0,10.0,1,69,69
1,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,11540.043756209076,0.0,10.0,11,69,69
1,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,12.49993226009058,0.0,10.0,10,69,69
1,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,58.92876186524726,0.0,10.0,10,69,69
2,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.0522474135390476,0.0,1.0522474135390476,0,31,31
2,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.6783354700917542,0.0,0.6783354700917542,0,31,31
2,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1.434341610828786,0.0,1.434341610828786,0,31,31
2,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.6956972017901872,0.0,0.6956972017901872,0,31,31
2,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1.038770567325835,0.0,1.038770567325835,0,31,31
3,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.064719022,0.0,1.064719022,0,68,68
3,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.39684484,0.0,0.39684484,0,68,68
3,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.521872727,0.0,0.521872727,0,68,68
3,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.442148995,0.0,0.442148995,0,68,68
3,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.626316672,0.0,0.626316672,0,68,68
4,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.064719022059938,0.0,1.064719022059938,0,68,68
4,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.396844840446937,0.0,0.396844840446937,0,68,68
4,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.5218727269161565,0.0,0.5218727269161565,0,68,68
4,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.4421489948324109,0.0,0.4421489948324109,0,68,68
4,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.6263166719927024,0.0,0.6263166719927024,0,68,68
5,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.7765339786782728,0.0,1.7765339786782728,0,52,52
5,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,9.13372923229613,0.0,9.13372923229613,0,52,52
5,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,79.35049353893172,0.0,10.0,3,52,52
5,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,19.88350221173342,0.0,10.0,10,52,52
5,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,294.4062381222633,0.0,10.0,14,52,52
6,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.9751544188755878,0.0,0.9751544188755878,0,62,62
6,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,28,62,62
6,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,28,62,62
6,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,35,62,62
6,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1000000.0,0.0,10.0,37,62,62
7,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.1623003327756198,0.0,1.1623003327756198,0,67,67
7,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,699.1211201145236,0.0,10.0,27,67,67
7,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,4.00758032964074,0.0,4.00758032964074,0,67,67
7,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1.5664681448490734,0.0,1.5664681448490734,0,67,67
7,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1.4719237273093688,0.0,1.4719237273093688,0,67,67
8,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,8.62136895311172,0.0,8.62136895311172,0,70,70
8,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,36.293402716169325,0.0,10.0,5,70,70
8,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,282.47279763800907,0.0,10.0,12,70,70
8,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1502.8855768943358,0.0,10.0,36,70,70
8,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,3676.911902361277,0.0,10.0,36,70,70
9,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.11604710095285,0.0,1.11604710095285,0,47,47
9,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1.336953553139704,0.0,1.336953553139704,0,47,47
9,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,2.275206587168442,0.0,2.275206587168442,0,47,47
9,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1.4192618169162068,0.0,1.4192618169162068,0,47,47
9,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1.396495016776404,0.0,1.396495016776404,0,47,47
10,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.8969742227312082,0.0,0.8969742227312082,0,47,47
10,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.602057440769263,0.0,0.602057440769263,0,47,47
10,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1.055129007243524,0.0,1.055129007243524,0,47,47
10,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1.0152392704594817,0.0,1.0152392704594817,0,47,47
10,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1.3884628390979024,0.0,1.3884628390979024,0,47,47
11,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,1.1741244966278517,0.0,1.1741244966278517,0,61,61
11,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.929521243985084,0.0,0.929521243985084,0,61,61
11,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1.1168701057512114,0.0,1.1168701057512114,0,61,61
11,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,1.609597212430122,0.0,1.609597212430122,0,61,61
11,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1.5165304126800525,0.0,1.5165304126800525,0,61,61
12,Extrapolation_Divergence,simple_constant,10.0,10.0,10.0,0.0,0.9437322168777688,0.0,0.9437322168777688,0,61,61
12,Sensitivity_Interpolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.6458953796528999,0.0,0.6458953796528999,0,61,61
12,Sensitivity_Interpolation_MVP,simple_constant,10.0,10.0,10.0,0.0,0.7381181705274625,0.0,0.7381181705274625,0,61,61
12,Sensitivity_Extrapolation_SVP,simple_constant,10.0,10.0,10.0,0.0,0.9334951106420396,0.0,0.9334951106420396,0,61,61
12,Sensitivity_Extrapolation_MVP,simple_constant,10.0,10.0,10.0,0.0,1.5294572272700546,0.0,1.5294572272700546,0,61,61
