Metric,Pre_Norm_Mean,Pre_Norm_Std,Pre_Norm_Min,Pre_Norm_Max,Post_Norm_Mean,Post_Norm_Std,Post_Norm_Min,Post_Norm_Max,Post_Norm_Range
MSE_Train,5.320333817411765,1.7904744024640034,2.171706901030148,12.474507636785004,0.3056088336693358,0.17378521126302443,0.0,1.0,1.0
AIC_Train,378.0099021205327,16.402538450760034,327.8851928710937,441.77972412109375,0.44009759467216725,0.14401515393883357,0.0,1.0,1.0
BIC_Train,403.8175996055826,21.47403334801528,356.3627,539.4428,0.259202936887092,0.1172931047558707,0.0,1.0,1.0
MDL_Train,427.8485882325051,194.78629149849127,200.31426501079696,1226.9003920975451,0.2216417280714735,0.18974179210005204,0.0,1.0,1.0
PSM_Train,0.013406144074011491,0.02135798137677236,0.0,0.1513931415565946,0.0885518586652747,0.14107628098059002,0.0,1.0,1.0
Extrapolation_Divergence,0.9293231936395713,0.9121492120554993,0.0,10.0,0.09293231936395713,0.09121492120554997,0.0,1.0,1.0
Sensitivity_Interpolation_SVP,0.9689197469029394,2.1412579842335036,0.0,10.0,0.09689197469029395,0.21412579842335003,0.0,1.0,1.0
Sensitivity_Interpolation_MVP,1.047298441234047,2.1191527793394287,0.0,10.0,0.10472984412340468,0.21191527793394316,0.0,1.0,1.0
Sensitivity_Extrapolation_SVP,1.0224565816135496,2.3935879683208614,0.0,10.0,0.10224565816135495,0.23935879683208616,0.0,1.0,1.0
Sensitivity_Extrapolation_MVP,1.15971674061921,2.3521076854651235,0.0,10.0,0.11597167406192099,0.23521076854651232,0.0,1.0,1.0
