Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,1,1,1,0.7624640039768348,15.804156279526811,26.345879661711106,3.1665586467967257,-205.7272186279297,0.7513024852522552,0.32485103514800334,0.007209569339365534,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,3,3,0.5522626884342243,13.64436234323536,11.856486240619812,2.803361989657358,-195.99449157714844,0.5803947701238127,0.2185289389726134,0.0009396229106038328,0.803598855388195,6.124744976187e-05,0.00011777218130344,6.124744976187e-05,0.00011777218130344,0.0808454990492906
1,2,5,1,5,4,0.470498304559228,12.620640035813576,5.515502279593548,2.649361513161575,-191.4608154296875,0.5007829380594714,0.16900225638941635,6.458991401851524e-05,0.3743289086061749,0.00024498979904751,0.00047108872521379005,0.00024498979904751,0.00047108872521379005,0.09150974567773852
1,3,7,2,8,5,0.47049830532758297,12.620639464502784,5.51550185505151,2.649361513161576,-191.46080017089844,0.518342775748534,0.1929372444083218,0.005854670335183257,4.7052076149654746e-07,0.00024498979904751,0.00047108872521379005,0.00024498979904751,0.00047108872521379005,0.09150974567773852
1,4,10,3,10,8,0.468143274478476,13.70932199656824,9.998546163864027,2.644396190147906,-191.32229614257807,0.5334707360153653,0.21535917885122408,0.013433795754095663,0.007623983724226528,0.0008095336821535299,0.0030939559340124297,0.0008095336821535299,0.0030939559340124297,0.13619263393611014
1,5,11,3,12,10,0.46526677480263723,11.473151987681272,10.885701990737124,2.6344429497567616,-191.15272521972656,0.5304930526974657,0.21350676561789075,0.01993057591333972,0.02804631985200551,0.00355461268392364,0.00185289176390474,0.00594974803469256,0.0036092805815172305,0.10697887216912476
1,6,13,3,13,10,0.4457376267301725,12.894886798280243,8.613873941617419,2.6002450921645,-189.97998046875,0.5098995309874133,0.20069548793123862,0.02102883528020926,0.09680770948717189,0.00435537969978854,0.00196057220656492,0.0067183881134328105,0.00362525258958718,0.13298549456067849
1,7,14,3,16,11,0.4335444254620577,13.315000223062134,9.506933549775267,2.575460750335381,-189.2301025390625,0.4967315953287378,0.19250371831782895,0.028513006177388552,0.12382722402792366,0.01190723995605692,0.011490847794558,0.01190723995605692,0.011490847794558,0.11676369070160242
1,8,15,3,17,11,0.42484768127933026,13.264760134996669,15.857317981430484,2.5576377115612763,-188.68655395507807,0.4871868247762118,0.18656588018031448,0.030319548291094824,0.08976069237557323,0.01145946264333041,0.00945078502160076,0.01145946264333041,0.00945078502160076,0.0781853961952
1,9,16,4,17,13,0.42273633176001224,10.520106793978796,9.190291459790664,2.554806403445528,-188.55343627929688,0.5024093699626164,0.20904664133349263,0.032955438044722195,0.02198089570624373,0.0029999226535759203,0.0012119493255939701,0.0074535837332742605,0.00363024620036828,0.10584813929013477
1,10,17,3,18,10,0.40002409348998286,13.471514711081475,8.456443209686654,2.5025358977194707,-187.09353637695312,0.45921326782590877,0.1691634426679907,0.029435143757960004,0.24115342691329456,0.00771902408269558,0.018489489660148038,0.00771902408269558,0.018489489660148038,0.1723414695405047
1,11,19,3,21,10,0.38967151780912945,13.5215919805235,4.2362108274334735,2.4855196232207204,-186.4093475341797,0.44719883947251116,0.16168922782978598,0.03549501901951806,0.05645602261962305,0.006610265434174969,0.01760850173516779,0.006610265434174969,0.01760850173516779,0.15391781341838937
1,12,21,3,23,11,0.3744646782343286,13.151468561387166,3.2203252500474338,2.4552959367326985,-185.3832550048828,0.429180546266763,0.15048003578761415,0.0411159063939869,0.08471855114314598,0.00433815703403406,0.021353720499481497,0.008146878320321769,0.01983356609009098,0.16794391352337332
1,13,26,5,28,15,0.3620983010563804,18.583720133935067,9.783476865072824,2.422727918937083,-184.52960205078125,0.4493105214871217,0.18902453079280596,0.060426676038538005,0.02820905931963252,0.01701126396037258,0.00082655949308739,0.019263900353649117,0.00461757050592063,0.06871926506237183
1,14,27,4,29,14,0.3383221768809512,17.70549530441071,9.324965687342226,2.371650672632021,-182.83413696289065,0.4019778698082801,0.14656797762290907,0.05946422593015494,0.2799509575621534,0.013610201582237922,5.6429897901350004e-05,0.015608679955813179,0.00231628981802502,0.04262849273100181
1,15,31,5,35,13,0.33796194406601276,14.698696785738491,4.368512600557541,2.367925579545865,-182.80859375,0.41908943392667314,0.17022385283818398,0.07233882121483416,0.013557450101070276,0.021544211772571358,0.04377164194369501,0.02436406877106309,0.05328077266469866,0.1920122231670451
1,16,34,5,36,13,0.3250612083400285,12.291321675586593,10.083715492206618,2.349449922083938,-181.8556060791016,0.402354869756834,0.15981332760906267,0.07390311419879424,0.03577323900373603,0.010108250939139269,0.0041894321184772,0.01422015521695176,0.012580210928184229,0.09248672337471579
1,17,35,4,37,13,0.3224471937592474,12.882068331877177,10.068046586585558,2.3373828167994937,-181.66061401367188,0.38137068285488934,0.13374817907571598,0.07621564107749432,0.03229028265833128,0.019470636894917508,0.02298659243847579,0.02555374734171606,0.06819035468249232,0.09288915151723508
1,18,37,5,40,14,0.3158038486971332,12.708657013595143,9.956949081620287,2.325607625159072,-181.1587371826172,0.3901177783208152,0.1522005941661599,0.08610810608381347,0.041405828335727174,0.01920360311161595,0.01324191384694128,0.025204848543708868,0.03970342801694566,0.08950597046161689
1,19,38,6,44,16,0.29077832246976376,12.978503568788122,9.071300028049736,2.245076235253707,-179.2234649658203,0.37369429939637167,0.1549942893848103,0.10024483625658534,0.3216195813073802,0.00999756102824257,0.0036858226824171003,0.01744822462418247,0.01109499886149835,0.10039533270438868
1,20,39,5,41,14,0.2857415112093005,13.763042388664257,8.862496367540578,2.261593045993493,-178.80722045898438,0.34882489625132984,0.12651222060726405,0.08638603974552136,0.06665092438181235,0.019790616627607192,0.027202498912961857,0.028800474192838682,0.08053132053779219,0.0805031731598391
1,21,40,5,43,14,0.26510731707157886,12.553941363927157,4.772528465006719,2.212407042268604,-177.10946655273438,0.3190121583153282,0.10796563908365771,0.08987479656924077,0.28034459579391385,0.023824154381343658,0.028051237922808718,0.03204099010341137,0.0837142520424354,0.08694477987523087
1,22,41,5,44,14,0.2528025850480765,12.437128600935791,4.230617005889652,2.1825831865982943,-176.06170654296875,0.30061338186370373,0.09651972005695866,0.09142557473295226,0.1730542552239882,0.01519093511851626,0.02464035255266862,0.02185630505478017,0.07319540133106235,0.09418112244216104
1,23,42,5,45,14,0.25163680778054265,12.348659818130166,3.8201217472125175,2.180782079509008,-175.9609375,0.2988438668244336,0.09541889042009467,0.093897494869284,0.016629633053814742,0.01508114393979756,0.02811707163318285,0.02140663020264938,0.08403936345075472,0.10826795577050581
1,24,43,6,46,15,0.25157963651731735,12.389717763075875,4.364979721722699,2.1825831865982943,-175.95591735839844,0.3163158182426179,0.11929903905449026,0.09955350258375653,0.000816517902654061,0.01519093511851625,0.02464035255266864,0.02185630505478017,0.07319540133106239,0.09418112244216101
1,25,46,8,51,18,0.24655659728270887,12.847555571667268,10.258527692904748,2.167090326282677,-175.51919555664062,0.34376714854066004,0.16239831636535043,0.12137770078724076,0.0240504560039906,0.01805035366245613,0.0059938039315365005,0.02843591015787512,0.017645017270659168,0.1315268831569168
1,26,48,5,51,14,0.23581326984730158,12.73326976945684,5.627972180440451,2.144931720237857,-174.56814575195312,0.2743862966011596,0.08020380150546123,0.10796382877102238,0.07849744883300455,0.01561934364940889,0.0547404937694533,0.028448867030548032,0.1646826019857487,0.12434011590543784
1,27,49,5,52,14,0.21836119027339004,12.723351402187507,5.190498955978557,2.1022052323336227,-172.97369384765625,0.2463875527317629,0.06278563317367643,0.10898165887066538,0.26332034901789514,0.011131527686920729,0.01649229231982505,0.01949825464401772,0.04958648765188407,0.1101021749335929
1,28,51,6,54,14,0.21739589056615724,12.741072772204085,5.215459165236015,2.0997489325064334,-172.88360595703125,0.2623657054909631,0.08573678952545888,0.11403539127978449,0.007437234044828197,0.01086863912647133,0.016385463726823223,0.019512308239565908,0.04926841860381873,0.10907766016692544
1,29,53,6,56,14,0.2162679170291267,12.79732619968146,5.209280169323898,2.097333751627781,-172.77810668945312,0.260513127207875,0.08458428851633797,0.11907380300772075,0.008712205415480703,0.01201302728664829,0.0165057671947499,0.01961714472153225,0.04959099152760476,0.11060681976991309
1,30,54,7,57,14,0.21602972716786925,12.78152873175262,5.26501282095983,2.096170892471423,-172.75579833984375,0.2776814958672021,0.10827555807539953,0.12162318700094554,0.003682699506823954,0.01033673460967225,0.01603927659733305,0.01953795246669331,0.04823048212722269,0.10405075783574853
1,31,55,7,59,15,0.21439834184526343,12.603738825380525,5.225284055850694,2.0925086025646946,-172.60260009765625,0.27499131855129166,0.1066019736716331,0.1305802989117038,0.025296261769468385,0.01058416766846297,0.016315993626912238,0.01956285153023083,0.04904357951861244,0.10775687633890227
1,32,56,7,59,15,0.21025249088297734,13.303068581740394,5.5526334612434844,2.0827155552233343,-172.21066284179688,0.2681088589361044,0.10232035049139694,0.1301982076229189,0.06472268319304772,0.01041437929123283,0.020520346012951628,0.01834336480438705,0.06171454373218301,0.12289489044482056
1,33,57,7,59,15,0.20930064677573945,13.515740265782338,10.481319154047334,2.0803393527109075,-172.12014770507812,0.26651940357375625,0.10133160294319238,0.13011005110893717,0.014950647973869238,0.011950655801142181,0.019902088321287252,0.01992160257722602,0.05975331758628544,0.12445994654670407
1,34,62,11,70,19,0.18714506625046062,13.008014551755355,10.471057686191504,2.0153989690491576,-169.95460510253906,0.29873266925609665,0.1734148058691248,0.17314311108072172,0.07157797434005603,0.4412639775788799,0.00841951546066005,0.07460763485964925,0.024790056391711092,0.12630479748660975
1,35,63,11,71,19,0.18287342752395058,12.954635108519144,10.389092593651284,2.008819060478182,-169.52166748046875,0.2911302388791717,0.16868540054325926,0.1755864751972829,0.07128721081087236,0.434725823581238,0.00599106866515472,0.06702743012955238,0.01763687159119551,0.13146846867107867
1,36,65,12,75,20,0.18160623992892017,12.984014189150884,10.249483651368,2.008819060478182,-169.3922576904297,0.3064178949308917,0.19120669040490995,0.19067817434494913,0.010647538563788285,0.4347258235812381,0.00599106866515473,0.0670274301295524,0.0176368715911955,0.13146846867107867
1,37,66,12,76,20,0.1727523500047247,13.825131825258932,10.740977381780136,1.985473897004854,-168.4794158935547,0.290388296549714,0.1812346071473634,0.192707529046416,0.15075060977380225,0.4480797702720397,0.01164659583596484,0.08872106831364437,0.03166940082557521,0.1183309454952007
1,38,67,12,77,20,0.17259298119609026,13.55232181389318,10.707079711320889,1.98406286650882,-168.462890625,0.29009811108824674,0.18105408506986834,0.19561031575170315,0.002744806071257586,0.43725305806422166,0.007160591737633009,0.06880210459849333,0.02116193652285972,0.1272416274418068
1,39,68,13,78,20,0.16639674330948606,13.856342388079112,10.739249305179976,1.97054993313259,-167.8109130859375,0.29620942226566555,0.1978667807151076,0.19789145635481334,0.10762688335990966,0.07118007139053699,0.01164658468154043,0.08147127885795957,0.031669412966007074,0.11833097821807004
