Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
678_visualizing_environmental,1,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.1399707709170625
678_visualizing_environmental,1,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.3522684715937197
678_visualizing_environmental,1,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.7362440628425284
678_visualizing_environmental,1,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.6393496529046401
678_visualizing_environmental,1,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.4484472049689442
678_visualizing_environmental,1,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,-0.34716843259042746
678_visualizing_environmental,1,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,-0.024114213685822228
678_visualizing_environmental,1,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.3891121666057728
678_visualizing_environmental,1,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.24636463280964563
678_visualizing_environmental,1,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,-0.08534892217756669
678_visualizing_environmental,2,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.1274193548387097
678_visualizing_environmental,2,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.10766129032258066
678_visualizing_environmental,2,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Interpolation,-0.15080645161290326
678_visualizing_environmental,2,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Interpolation,-0.16895161290322583
678_visualizing_environmental,2,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Interpolation,-0.21008064516129035
678_visualizing_environmental,2,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.12903225806451615
678_visualizing_environmental,2,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.08387096774193549
678_visualizing_environmental,2,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.24314516129032263
678_visualizing_environmental,2,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,-0.11370967741935485
678_visualizing_environmental,2,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,-0.048387096774193554
678_visualizing_environmental,3,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.04015726991640264
678_visualizing_environmental,3,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Interpolation,-0.04405084551666221
678_visualizing_environmental,3,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Interpolation,-0.11207390159178529
678_visualizing_environmental,3,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Interpolation,-0.04515784250104974
678_visualizing_environmental,3,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.16845440317593616
678_visualizing_environmental,3,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.6448448295606367
678_visualizing_environmental,3,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.40554261938389885
678_visualizing_environmental,3,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,-0.42604114974997137
678_visualizing_environmental,3,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,-0.643317937168378
678_visualizing_environmental,3,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,0.01691033324426461
678_visualizing_environmental,4,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.04015726991640264
678_visualizing_environmental,4,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Interpolation,-0.04405084551666221
678_visualizing_environmental,4,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Interpolation,-0.11207390159178529
678_visualizing_environmental,4,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Interpolation,-0.04515784250104974
678_visualizing_environmental,4,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.16845440317593616
678_visualizing_environmental,4,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.6448448295606367
678_visualizing_environmental,4,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.40554261938389885
678_visualizing_environmental,4,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,-0.42604114974997137
678_visualizing_environmental,4,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,-0.643317937168378
678_visualizing_environmental,4,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,0.01691033324426461
678_visualizing_environmental,5,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.5414496713053871
678_visualizing_environmental,5,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.7857935627081021
678_visualizing_environmental,5,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.8740715444378042
678_visualizing_environmental,5,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.9159054042516861
678_visualizing_environmental,5,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.7426790745325705
678_visualizing_environmental,5,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,0.3040211730555793
678_visualizing_environmental,5,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.18415435840519082
678_visualizing_environmental,5,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.12977034064714418
678_visualizing_environmental,5,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.12635533168274568
678_visualizing_environmental,5,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,0.2194997011867156
678_visualizing_environmental,6,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Interpolation,0.19120646672206695
678_visualizing_environmental,6,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Interpolation,0.2580393341895193
678_visualizing_environmental,6,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.444234594948503
678_visualizing_environmental,6,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.695902898441238
678_visualizing_environmental,6,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.36047946412832715
678_visualizing_environmental,6,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,-0.20989146584069907
678_visualizing_environmental,6,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,-0.21553222029160687
678_visualizing_environmental,6,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,-0.041222834982750374
678_visualizing_environmental,6,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.18244315177154946
678_visualizing_environmental,6,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,-0.1357054720354562
678_visualizing_environmental,7,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Interpolation,-0.7622316226354857
678_visualizing_environmental,7,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Interpolation,-0.5362359326362839
678_visualizing_environmental,7,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Interpolation,0.05407454705084205
678_visualizing_environmental,7,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Interpolation,0.7941176470588236
678_visualizing_environmental,7,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Interpolation,0.4193870221087078
678_visualizing_environmental,7,MVP,w1.0_0.3_0.7,MSE_Train,MSE_Test_Extrapolation,-0.35070636124191884
678_visualizing_environmental,7,MVP,w1.0_0.3_0.7,AIC_Train,MSE_Test_Extrapolation,0.028613616409928964
678_visualizing_environmental,7,MVP,w1.0_0.3_0.7,BIC_Train,MSE_Test_Extrapolation,0.4930561098252056
678_visualizing_environmental,7,MVP,w1.0_0.3_0.7,MDL_Train,MSE_Test_Extrapolation,0.36563173437624713
678_visualizing_environmental,7,MVP,w1.0_0.3_0.7,PSM_Train,MSE_Test_Extrapolation,0.25137680581051963
