Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
678_visualizing_environmental,1,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Interpolation,0.5594081110705152
678_visualizing_environmental,1,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Interpolation,0.6568871026671539
678_visualizing_environmental,1,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Interpolation,0.7389112166605775
678_visualizing_environmental,1,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Interpolation,0.6355133357690903
678_visualizing_environmental,1,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Interpolation,0.6258312020460359
678_visualizing_environmental,1,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Extrapolation,0.39177932042382174
678_visualizing_environmental,1,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Extrapolation,0.4770551698940446
678_visualizing_environmental,1,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Extrapolation,0.49846547314578005
678_visualizing_environmental,1,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Extrapolation,0.27862623310193646
678_visualizing_environmental,1,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Extrapolation,0.3090610157106321
678_visualizing_environmental,2,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Interpolation,0.14193548387096774
678_visualizing_environmental,2,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Interpolation,0.10766129032258066
678_visualizing_environmental,2,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Interpolation,-0.09475806451612903
678_visualizing_environmental,2,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Interpolation,-0.16088709677419355
678_visualizing_environmental,2,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Interpolation,-0.14758064516129032
678_visualizing_environmental,2,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Extrapolation,0.11693548387096775
678_visualizing_environmental,2,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Extrapolation,0.08387096774193549
678_visualizing_environmental,2,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Extrapolation,0.20766129032258068
678_visualizing_environmental,2,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Extrapolation,-0.10040322580645164
678_visualizing_environmental,2,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Extrapolation,-0.10201612903225808
678_visualizing_environmental,3,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Interpolation,0.0359964881474978
678_visualizing_environmental,3,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Interpolation,-0.05397564606634347
678_visualizing_environmental,3,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Interpolation,-0.15944573806161008
678_visualizing_environmental,3,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Interpolation,-0.05157079054853608
678_visualizing_environmental,3,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Interpolation,0.11226476314081764
678_visualizing_environmental,3,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Extrapolation,0.6458373096156047
678_visualizing_environmental,3,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Extrapolation,0.41455128449822487
678_visualizing_environmental,3,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Extrapolation,-0.4202007863495819
678_visualizing_environmental,3,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Extrapolation,-0.6511814329885101
678_visualizing_environmental,3,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Extrapolation,-0.008665114326067869
678_visualizing_environmental,4,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Interpolation,0.0359964881474978
678_visualizing_environmental,4,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Interpolation,-0.05397564606634347
678_visualizing_environmental,4,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Interpolation,-0.15944573806161008
678_visualizing_environmental,4,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Interpolation,-0.05157079054853608
678_visualizing_environmental,4,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Interpolation,0.11226476314081764
678_visualizing_environmental,4,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Extrapolation,0.6458373096156047
678_visualizing_environmental,4,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Extrapolation,0.41455128449822487
678_visualizing_environmental,4,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Extrapolation,-0.4202007863495819
678_visualizing_environmental,4,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Extrapolation,-0.6511814329885101
678_visualizing_environmental,4,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Extrapolation,-0.008665114326067869
678_visualizing_environmental,5,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Interpolation,0.37949287116878677
678_visualizing_environmental,5,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Interpolation,0.7172372577478016
678_visualizing_environmental,5,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Interpolation,0.8503372321352343
678_visualizing_environmental,5,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Interpolation,0.9121488943908477
678_visualizing_environmental,5,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Interpolation,0.7455818321523093
678_visualizing_environmental,5,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Extrapolation,0.3226329719115512
678_visualizing_environmental,5,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Extrapolation,0.22026807820370525
678_visualizing_environmental,5,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Extrapolation,0.15862716639631178
678_visualizing_environmental,5,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Extrapolation,0.14291812516007854
678_visualizing_environmental,5,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Extrapolation,0.269785708187484
678_visualizing_environmental,6,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Interpolation,0.22404371584699456
678_visualizing_environmental,6,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Interpolation,0.23305885019264183
678_visualizing_environmental,6,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Interpolation,0.43360781647402485
678_visualizing_environmental,6,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Interpolation,0.6329480496587848
678_visualizing_environmental,6,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Interpolation,0.3605801918863791
678_visualizing_environmental,6,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Extrapolation,-0.24977965802926144
678_visualizing_environmental,6,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Extrapolation,-0.27214122031678883
678_visualizing_environmental,6,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Extrapolation,-0.08982397824280428
678_visualizing_environmental,6,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Extrapolation,-0.012565787816977664
678_visualizing_environmental,6,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Extrapolation,-0.19508448540706605
678_visualizing_environmental,7,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Interpolation,0.2719690318461171
678_visualizing_environmental,7,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Interpolation,0.3317503392130258
678_visualizing_environmental,7,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Interpolation,0.5569478809162743
678_visualizing_environmental,7,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Interpolation,0.7723281985792961
678_visualizing_environmental,7,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Interpolation,0.5693590869183496
678_visualizing_environmental,7,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Extrapolation,0.015843243674674757
678_visualizing_environmental,7,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Extrapolation,0.15875169606512893
678_visualizing_environmental,7,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Extrapolation,0.4292042461489346
678_visualizing_environmental,7,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Extrapolation,0.3499082129459654
678_visualizing_environmental,7,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Extrapolation,0.23712985872775164
678_visualizing_environmental,8,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Interpolation,0.24559531099641327
678_visualizing_environmental,8,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Interpolation,0.38602047064998685
678_visualizing_environmental,8,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Interpolation,0.5257457790219578
678_visualizing_environmental,8,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Interpolation,0.5669320269442744
678_visualizing_environmental,8,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Interpolation,0.4871489808415712
678_visualizing_environmental,8,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Extrapolation,0.15209517977429796
678_visualizing_environmental,8,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Extrapolation,0.2940600122473974
678_visualizing_environmental,8,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Extrapolation,0.4653136208555682
678_visualizing_environmental,8,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Extrapolation,0.48634415186772806
678_visualizing_environmental,8,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Extrapolation,0.37401802117050126
678_visualizing_environmental,9,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Interpolation,-0.7079093432007401
678_visualizing_environmental,9,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Interpolation,-0.054925994449583716
678_visualizing_environmental,9,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Interpolation,0.6252312673450509
678_visualizing_environmental,9,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Interpolation,0.7592506938020351
678_visualizing_environmental,9,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Interpolation,0.37407493061979646
678_visualizing_environmental,9,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Extrapolation,-0.16362164662349676
678_visualizing_environmental,9,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Extrapolation,-0.07735892691951897
678_visualizing_environmental,9,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Extrapolation,0.1662812210915819
678_visualizing_environmental,9,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Extrapolation,0.2725485661424607
678_visualizing_environmental,9,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Extrapolation,0.18351063829787234
678_visualizing_environmental,10,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Interpolation,-0.30573543015726184
678_visualizing_environmental,10,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Interpolation,-0.2960222016651249
678_visualizing_environmental,10,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Interpolation,0.28977798334875116
678_visualizing_environmental,10,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Interpolation,0.2678075855689177
678_visualizing_environmental,10,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Interpolation,-0.032377428307123035
678_visualizing_environmental,10,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Extrapolation,-0.5652173913043479
678_visualizing_environmental,10,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Extrapolation,0.24664662349676228
678_visualizing_environmental,10,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Extrapolation,0.5521507863089732
678_visualizing_environmental,10,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Extrapolation,0.5269426456984274
678_visualizing_environmental,10,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Extrapolation,0.18432007400555042
678_visualizing_environmental,11,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Interpolation,-0.7846113167636171
678_visualizing_environmental,11,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Interpolation,-0.45319936541512423
678_visualizing_environmental,11,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Interpolation,0.6926493918561606
678_visualizing_environmental,11,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Interpolation,0.8168164992067688
678_visualizing_environmental,11,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Interpolation,0.03543098889476467
678_visualizing_environmental,11,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Extrapolation,-0.6729243786356425
678_visualizing_environmental,11,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Extrapolation,-0.5474352194606028
678_visualizing_environmental,11,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Extrapolation,0.35975674246430456
678_visualizing_environmental,11,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Extrapolation,0.585404547858276
678_visualizing_environmental,11,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Extrapolation,-0.2140666314119513
678_visualizing_environmental,12,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Interpolation,-0.7975145425700687
678_visualizing_environmental,12,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Interpolation,-0.5044420941300898
678_visualizing_environmental,12,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Interpolation,0.7975674246430459
678_visualizing_environmental,12,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Interpolation,0.7995240613432045
678_visualizing_environmental,12,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Interpolation,0.2898995240613431
678_visualizing_environmental,12,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Extrapolation,0.0889476467477525
678_visualizing_environmental,12,SVP,w0.6_0.8_0.8,AIC_Train,MSE_Test_Extrapolation,0.21835007932310943
678_visualizing_environmental,12,SVP,w0.6_0.8_0.8,BIC_Train,MSE_Test_Extrapolation,0.18635642517186674
678_visualizing_environmental,12,SVP,w0.6_0.8_0.8,MDL_Train,MSE_Test_Extrapolation,-0.09471179270227391
678_visualizing_environmental,12,SVP,w0.6_0.8_0.8,PSM_Train,MSE_Test_Extrapolation,0.011158117398202008
678_visualizing_environmental,13,SVP,w0.6_0.8_0.8,MSE_Train,MSE_Test_Interpolation,-0.2362332451122684
