Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,1,1,1,156.22674254841198,189.2266572025001,190.42042633293488,12.49905023882816,-627.1902465820312,1256.3804931640625,1259.4493,629.5219685371536,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,3,3,135.57945038722568,161.81989235860914,165.25345930493094,11.641511125234812,-615.9210815429688,1233.8421630859375,1236.911,621.5489402994237,0.0708754271120896,0.0008823277827703,0.0019260338016113,0.0008823277827703,0.0019260338016113,0.8871302041624438
1,2,5,2,5,5,35.104693340461736,37.47479060689915,57.42575105163843,5.924759289865372,-508.4988403320313,1020.9976806640624,1027.1355,518.8777903750508,0.6756116374866632,0.1111069498540961,0.2425354218599075,0.1111069498540961,0.2425354218599075,1.1370854481432071
1,3,7,2,8,7,33.7593433626157,36.307693023084624,59.381469892354616,5.809951715636219,-505.3921508789063,1014.7843017578124,1020.9221,523.2912362303043,0.0195386806796276,0.0559939541550421,0.1217915626710833,0.1119879083100846,0.2435831253421668,1.1926567298827018
1,4,10,2,10,6,33.52542427628422,34.805535335881586,58.012419208291405,5.789718238329254,-504.8394165039063,1013.6788330078124,1019.81665,525.0888333822361,0.0023176412273106,0.1328088890140469,0.4037992075492569,0.1328088890140469,0.4037992075492569,1.1684108514068745
1,5,13,3,14,9,33.49431296235465,34.60235879177612,58.127577634849736,5.787374727757849,-504.7655944824219,1015.5311889648438,1024.7379,537.8584719219714,0.0003096103183905,0.1299609389906347,0.395140148873809,0.1299609389906347,0.395140148873809,1.1680423469361296
1,6,14,2,17,10,33.30644679894177,36.28817822819104,59.704490161717096,5.764374042099477,-504.3186340332031,1012.6372680664062,1018.7751,545.7960674016673,0.0056246526976828,0.056201843475863,0.1120098911467583,0.1123974589813609,0.2239774495400918,1.1632437787026264
1,7,15,3,16,9,33.10346332662225,33.58149977656011,59.824484542465854,5.753332649631769,-503.83245849609375,1013.6649169921876,1022.87164,541.3198309194986,0.0061131140813128,0.0657095028597655,0.198971546461823,0.1314186811812452,0.3979415362901551,1.2198362985610112
1,8,16,3,17,10,32.9070238585484,37.45499864522662,56.98881207181935,5.736433914247995,-503.3592834472656,1012.7185668945312,1021.9253,544.8349576748137,0.0059515271752398,0.0548702456132793,0.1119667167577521,0.1097379423476628,0.2239333522825737,1.2109474771086102
1,9,18,3,20,9,32.69413814455635,36.62083528681987,59.76476089601003,5.717875909030862,-502.84326171875,1011.6865234375,1020.89325,549.1194735119387,0.0032452896696391,0.0541512141330632,0.1110094630201166,0.1082988442640768,0.2220362831555906,1.1777273482277548
1,10,20,2,23,11,32.66493382901121,36.539316854139045,59.03239076091972,5.715322317152431,-502.7722778320313,1009.5445556640624,1015.6824,560.2555892131138,0.0004467628809647,0.0755881371952764,0.1174672944399696,0.1511244389482368,0.2345645216665265,0.9999113027736096
1,11,22,2,25,11,32.50732101272854,35.877369167626775,60.02015537829247,5.701509411760163,-502.3876953125,1008.775390625,1014.9132,564.6667993498629,0.0024183037652289,0.0583643889900179,0.1107120565062024,0.1166937840588783,0.2213300171147827,1.018031547998953
1,12,25,5,32,14,32.1943527146426,36.93932678860424,58.19831248847802,5.669608102723352,-501.6187133789063,1013.2374267578124,1028.5819,588.4014302804447,0.0032247637236058,0.0581850571971305,0.1136396459930601,0.1163511288682365,0.2271638789678813,1.096574030763676
1,13,27,4,36,13,32.14944951491234,37.20150754510721,58.44702764932463,5.656924599928027,-501.5085144042969,1011.0170288085938,1023.29266,596.1818824471798,0.0006979694592611,0.0602953160476671,0.1134742356994292,0.1205651264568362,0.2267803844184286,1.08364822978177
