Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
712_chscase_geyser1,1,MVP,w1.0_0.8_0.7,MSE_Train,MSE_Test_Interpolation,-0.10757278237855375
712_chscase_geyser1,1,MVP,w1.0_0.8_0.7,AIC_Train,MSE_Test_Interpolation,-0.1455647571074874
712_chscase_geyser1,1,MVP,w1.0_0.8_0.7,BIC_Train,MSE_Test_Interpolation,-0.23076923076923075
712_chscase_geyser1,1,MVP,w1.0_0.8_0.7,MDL_Train,MSE_Test_Interpolation,-0.4215828566549987
712_chscase_geyser1,1,MVP,w1.0_0.8_0.7,PSM_Train,MSE_Test_Interpolation,-0.2664560744471954
712_chscase_geyser1,1,MVP,w1.0_0.8_0.7,MSE_Train,MSE_Test_Extrapolation,0.20566891488090155
712_chscase_geyser1,1,MVP,w1.0_0.8_0.7,AIC_Train,MSE_Test_Extrapolation,0.3175958336890634
712_chscase_geyser1,1,MVP,w1.0_0.8_0.7,BIC_Train,MSE_Test_Extrapolation,0.43481601639204304
712_chscase_geyser1,1,MVP,w1.0_0.8_0.7,MDL_Train,MSE_Test_Extrapolation,0.2831896183727482
712_chscase_geyser1,1,MVP,w1.0_0.8_0.7,PSM_Train,MSE_Test_Extrapolation,0.07478869632032784
712_chscase_geyser1,2,MVP,w1.0_0.8_0.7,MSE_Train,MSE_Test_Interpolation,0.1683593844275053
712_chscase_geyser1,2,MVP,w1.0_0.8_0.7,AIC_Train,MSE_Test_Interpolation,0.21801243733624476
712_chscase_geyser1,2,MVP,w1.0_0.8_0.7,BIC_Train,MSE_Test_Interpolation,0.062234387398187936
712_chscase_geyser1,2,MVP,w1.0_0.8_0.7,MDL_Train,MSE_Test_Interpolation,-0.2680496531301582
712_chscase_geyser1,2,MVP,w1.0_0.8_0.7,PSM_Train,MSE_Test_Interpolation,0.033566232092078215
712_chscase_geyser1,2,MVP,w1.0_0.8_0.7,MSE_Train,MSE_Test_Extrapolation,-0.4220989700849321
712_chscase_geyser1,2,MVP,w1.0_0.8_0.7,AIC_Train,MSE_Test_Extrapolation,-0.5010444429881891
712_chscase_geyser1,2,MVP,w1.0_0.8_0.7,BIC_Train,MSE_Test_Extrapolation,-0.35141299921291613
712_chscase_geyser1,2,MVP,w1.0_0.8_0.7,MDL_Train,MSE_Test_Extrapolation,-0.058776921431621935
712_chscase_geyser1,2,MVP,w1.0_0.8_0.7,PSM_Train,MSE_Test_Extrapolation,-0.28817018424114643
712_chscase_geyser1,3,MVP,w1.0_0.8_0.7,MSE_Train,MSE_Test_Interpolation,0.7434534612393052
712_chscase_geyser1,3,MVP,w1.0_0.8_0.7,AIC_Train,MSE_Test_Interpolation,0.7166191340420016
712_chscase_geyser1,3,MVP,w1.0_0.8_0.7,BIC_Train,MSE_Test_Interpolation,0.7309437386569874
712_chscase_geyser1,3,MVP,w1.0_0.8_0.7,MDL_Train,MSE_Test_Interpolation,0.6009204044594245
712_chscase_geyser1,3,MVP,w1.0_0.8_0.7,PSM_Train,MSE_Test_Interpolation,0.5001296344309049
