Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
712_chscase_geyser1,1,SVP,w0.2_0.4_0.1,MSE_Train,MSE_Test_Interpolation,0.3607103218645949
712_chscase_geyser1,1,SVP,w0.2_0.4_0.1,AIC_Train,MSE_Test_Interpolation,-0.06279481762758862
712_chscase_geyser1,1,SVP,w0.2_0.4_0.1,BIC_Train,MSE_Test_Interpolation,-0.19256792815639173
712_chscase_geyser1,1,SVP,w0.2_0.4_0.1,MDL_Train,MSE_Test_Interpolation,-0.39098418399121965
712_chscase_geyser1,1,SVP,w0.2_0.4_0.1,PSM_Train,MSE_Test_Interpolation,-0.0029027576197387514
712_chscase_geyser1,1,SVP,w0.2_0.4_0.1,MSE_Train,MSE_Test_Extrapolation,0.15179714846751471
712_chscase_geyser1,1,SVP,w0.2_0.4_0.1,AIC_Train,MSE_Test_Extrapolation,0.31841369455077057
712_chscase_geyser1,1,SVP,w0.2_0.4_0.1,BIC_Train,MSE_Test_Extrapolation,0.4355510022122955
712_chscase_geyser1,1,SVP,w0.2_0.4_0.1,MDL_Train,MSE_Test_Extrapolation,0.35393054585339034
712_chscase_geyser1,1,SVP,w0.2_0.4_0.1,PSM_Train,MSE_Test_Extrapolation,0.2200119525313754
712_chscase_geyser1,2,SVP,w0.2_0.4_0.1,MSE_Train,MSE_Test_Interpolation,0.42960046100653093
712_chscase_geyser1,2,SVP,w0.2_0.4_0.1,AIC_Train,MSE_Test_Interpolation,0.3097387629658087
712_chscase_geyser1,2,SVP,w0.2_0.4_0.1,BIC_Train,MSE_Test_Interpolation,0.09950057625816366
712_chscase_geyser1,2,SVP,w0.2_0.4_0.1,MDL_Train,MSE_Test_Interpolation,-0.48740666056451204
712_chscase_geyser1,2,SVP,w0.2_0.4_0.1,PSM_Train,MSE_Test_Interpolation,-0.04124948979555821
712_chscase_geyser1,2,SVP,w0.2_0.4_0.1,MSE_Train,MSE_Test_Extrapolation,-0.6882443334613908
712_chscase_geyser1,2,SVP,w0.2_0.4_0.1,AIC_Train,MSE_Test_Extrapolation,-0.5900883595850942
712_chscase_geyser1,2,SVP,w0.2_0.4_0.1,BIC_Train,MSE_Test_Extrapolation,-0.4195159431425278
712_chscase_geyser1,2,SVP,w0.2_0.4_0.1,MDL_Train,MSE_Test_Extrapolation,0.10602895630802388
712_chscase_geyser1,2,SVP,w0.2_0.4_0.1,PSM_Train,MSE_Test_Extrapolation,-0.39813681012220387
712_chscase_geyser1,3,SVP,w0.2_0.4_0.1,MSE_Train,MSE_Test_Interpolation,0.7319159968887737
712_chscase_geyser1,3,SVP,w0.2_0.4_0.1,AIC_Train,MSE_Test_Interpolation,0.6904329789992222
712_chscase_geyser1,3,SVP,w0.2_0.4_0.1,BIC_Train,MSE_Test_Interpolation,0.8187710655950221
712_chscase_geyser1,3,SVP,w0.2_0.4_0.1,MDL_Train,MSE_Test_Interpolation,0.6805807622504537
712_chscase_geyser1,3,SVP,w0.2_0.4_0.1,PSM_Train,MSE_Test_Interpolation,0.5479647394347938
712_chscase_geyser1,3,SVP,w0.2_0.4_0.1,MSE_Train,MSE_Test_Extrapolation,0.6864791288566244
712_chscase_geyser1,3,SVP,w0.2_0.4_0.1,AIC_Train,MSE_Test_Extrapolation,0.6385143894218306
712_chscase_geyser1,3,SVP,w0.2_0.4_0.1,BIC_Train,MSE_Test_Extrapolation,0.7346383199377755
712_chscase_geyser1,3,SVP,w0.2_0.4_0.1,MDL_Train,MSE_Test_Extrapolation,0.6505703914959814
712_chscase_geyser1,3,SVP,w0.2_0.4_0.1,PSM_Train,MSE_Test_Extrapolation,0.5157505833549391
712_chscase_geyser1,4,SVP,w0.2_0.4_0.1,MSE_Train,MSE_Test_Interpolation,0.7191849816849816
712_chscase_geyser1,4,SVP,w0.2_0.4_0.1,AIC_Train,MSE_Test_Interpolation,0.522481684981685
712_chscase_geyser1,4,SVP,w0.2_0.4_0.1,BIC_Train,MSE_Test_Interpolation,0.8141483516483516
712_chscase_geyser1,4,SVP,w0.2_0.4_0.1,MDL_Train,MSE_Test_Interpolation,0.6672619047619046
712_chscase_geyser1,4,SVP,w0.2_0.4_0.1,PSM_Train,MSE_Test_Interpolation,0.7204212454212453
